https://www.instagram.com/p/hgr5zoku6g/,hashtags:,#Red,#YOLO
username,comment_id,text
pochitocortez_,17850464836063211,Lool si style en excesoo jajaja
karlyflore,17850463147063211,Peor aún en el insta de maggi 😒
maggypitza,17850463144063211,@karlyflore y eso que'!?
karlyflore,17850463141063211,Style? No jodas .i.
chuchopitza,17850462217063211,@im_thee_bomb Que pedo?! Esto es style ;)
pochitocortez_,17850461941063211,Asco
pochitocortez_,17850461938063211,Jajajajajajajajajajajajajajajaja
chuchopitza,17850461524063211,@priscilla_1402 No te burles y no te atrevas a bajar mi foto :(
chuchopitza,17850461521063211,@andreaakeg . _. Oooook
priscillac_osorno,17850461518063211,😂😂 @chuchoo_floores
andreaakeg,17850461515063211,Nada.-.
chuchopitza,17850461509063211,@andreaakeg Qué'!? ._.
andreaakeg,17850461497063211,Uy
