https://www.instagram.com/p/B07JnE-g5jC/,hashtags:,#vive_mexico,#visitmeridamx,#visityucatan,#mexico_amazing,#mexicodestinos,#mexico_tour
username,comment_id,text
mmariadelrocio,17875913821423538,👏👏👏😍
javiier_coontreras,17874489925427152,Que lugares que fotones que belleza de colores 👌👌
solounviajemas,17857729996478852,Me encanta esa parte de la ciudad! Es increíble Mérida!
sarahnorzagaray,17911019020328011,Me encanta ese pasaje de Mérida! 🤩
tanyabadillo,17953690603288555,Me encantó la toma! 😍 Y qué padre lo tomaste!!!
gustavomoguel,17965817596285238,Mega chingon papaaaaa
odron_larraga,18089985955050463,Bro tu deberías ser fotógrafo de daylife de natgeo
callmevans_,18066914515126030,Me encantó!!!! 👏🏻
sara.consultoria,17842051690590868,"Amo Mérida, tiene magia ese lugar no?"
ann.rockast,17969441500282771,Hermosa postal! Me encanta Mérida!
arlenne.pereyra,18089309881037103,Arte por todos lados y Mérida está llena!
nancorreaa,17844699502562361,"Que gran fotografía, este tipo me encanta 🤩"
manuel_gabucio,17848215835547991,Siempre me ha encantado Mérida! 🤙🏻
ivanmmoncada,18056000029145990,Captaste un buen momento amigo! TOP👌🏻
paogastelum,18072749623097838,"@chelalul sigue esta cuenta, muchas fotos de Mérida y sus alrededores."
melymelontravel,17856081784486573,Una vez capture a unas mestizas ahí ☺️
