https://www.instagram.com/p/B0pFgsOAIbb/,hashtags:,#maya....,#ViveYucatan,#visityucatan,#mexicodestinos,#mexico_amazing,#cdmx,#gopromx,#meridayucatan,#mexico_tour
username,comment_id,text
javiier_coontreras,17878037203408641,Ehy se ve genial esa toma desde hay. Quedo chula la fotona 👌👌
texan_momma_livinglife,17858956684474742,Omg it looks so pretty
josetwitts,17885422981377827,Hermoso lugar
odron_larraga,18018397039221835,"Bro, me urge un trip contigo en lugares geniales que tu conoces"
efrencanela,17854585159490067,Que hermosos lugares tiene Yucatán
guillermo_go,17854627885484457,Loco ese detalle de la parvada está increíble
tanyabadillo,18059721685092866,Te quedó de lujo está foto! 💜💜💜 La amo!
edificiosmayas,18087580762001689,@tanyabadillo muchas gracias 👏👏
camilo.carmonag,18071363317112318,"Wooow que increíble lugar, es la primera vez que lo veo"
diego_aresdp,17885038567379817,No te pases amigo. Esta muy chingona. Ya mándame eso jajajaja
edificiosmayas,17914478614322873,"@diego_aresdp ya solo falta el recorrido de barrios y queda listo, le metí un par de rutas más para que cheques!"
jennalvar3z,17896040539364858,¿Es tan mágico como se ve?
edificiosmayas,18089433349028941,"@jennalvar3z la foto no le hace justicia a Maní en realidad, es bellísimo!"
arlenne.pereyra,17914282525324038,Me falta conocer Maní de mi hermoso Yucatán 🤩 quiero ir ya!
edificiosmayas,18059503339140895,@arlenne.pereyra avisa amiga hacemos un trip con la banda!
manuel_gabucio,17967317593284463,Me encanto la foto!! Hasta los pajaritos salieron! 🤙🏻🤙🏻
gustavomoguel,17875919767413772,Que joya de nubes papu 🔥
edificiosmayas,18054380929154786,@gustavomoguel gracias amigo 😘
melymelontravel,18005350591243815,Yo fui una vez pero era de noche 🙊🙊
edificiosmayas,18009676891237659,@melymelontravel de noche igual está bello no?
melymelontravel,17868243745440967,@edificiosmayas sip
armandocuellarl,18061018348137831,Cuanto le demos a las culturas prehispánicas
ann.rockast,17843199820562824,Me encanta la cultura Maya! Fue la mejor
edificiosmayas,18059769166082007,@ana.cast7 mi favorita 👍
evehxc,18054504013178603,Tremenda foto! El cielo está increíble 😍
edificiosmayas,17914672900324992,@evehxc se veía muy bonito
josh.a.gallagher,18050104414164940,Q chingonas fotos es bonito conocer México 🇲🇽
edificiosmayas,17875718245412236,@josh.a.gallagher tremendo país que tenemos❤️
lidiaperez0,18088443916022199,Ese cielo está increíblemente chulooo
edificiosmayas,18058800574190935,@liyizz si se veía super!
gogonzaexpeditions,17984257456266167,Chingona máster👏👏👏
edificiosmayas,18044685601175584,@gogonzamx gracias amigo!
