https://www.instagram.com/p/BcneIKYjQ-b/,hashtags:,#Yucatán,#GoProMX,#gopro,#goproepic,#mexico,#igersspain,#IgersYucatan,#goprofamilymx,#goprofamily,#AbiliaFoto2017,#Mayan,#mexicolindo,#redescubreyucatan,#mexigers,#beginnersmx,#creativosmx,#viajaconmigomx,#vive_mexico,#yucatanmegusta,#YucatanVenPorTodo
username,comment_id,text
viajeroysupizza,17895687403094322,Que cielo tan cool te quedo y esos tonos de la construccion
edificiosmayas,17899943392104522,@viajeroysupizza Gracias brother 👌
odron_larraga,17906964550066003,Pues a darme amor a quien amor merece
jitsslo,17899920631099877,awesome👌
isabaezam,17912369203042494,Yeeey quiero volveeeer 👌🏻👌🏻👌🏻
viajerolibre,17913454894053012,"Me encanta las zonas arqueológicas, Chiapas y Yucatán tienen mucho en común"
edificiosmayas,17886333916176232,@viajerolibremx Seguro que Si!!
gogonzaexpeditions,17912170114004060,"Justo como dices bro, nada como conocer la cultura y su magia! 👏"
edificiosmayas,17885209648164078,@gogonzagar Cuando nos lanzamos??
mikediazphoto,17914300963059369,"Buena toma, definitivamente yucatan es mágico!"
edificiosmayas,17907144082067799,@mikediazphoto Gracias amigo
efrencanela,17913224386010934,Yucatán un lugar mágico definitivamente y recomendado para visitar no sólo una vez 👏👏👍🤘💪👊
edificiosmayas,17888877088186112,@efrencanela Iría mil veces
joss_travel88,17912410345059230,Parece que te van siguiendo Bro!! Jajajaja...
edificiosmayas,17899227454114294,@joss_salguero  ajajajaaj los señores de Canul :)
omarjairbq,17898360379123848,"Las zonas arqueológicas son de mis destinos preferidos, buena foto 👏😀📸"
edificiosmayas,17884429138162470,@omarjairbq Gracias master
josh.a.gallagher,17903864410077069,Esa ruinas son fenómenalea q bello lugar..
edificiosmayas,17888217238135232,@josh.a.gallagher esta increíble!
alfindelmundomx,17899817497097166,No cabe duda que México esta lleno de historia
edificiosmayas,17883527332174863,@alfindelmundomx Completamente!
shobagy,17886389968191208,YUCALOVEEEE! 😍🇲🇽 estoy enamorada de Yucatán solo por tus fotos !!
edificiosmayas,17886360166183280,@shobagy 👌👌👌
betofrank,17852850766221728,Cada vez estás sacando fotos más fregonas! Esos tonos son 👌🏻
edificiosmayas,17912578399010940,@betofrank Gracias Beto tengo buenos amigos que comparten tips 👌
packortiz,17912457067042737,ARMA LOS PERMISOS PARA VOLAR EN SITIOS ARQUEOLÓGICOS BRO JAJAJAJA
edificiosmayas,17913124099042896,@packortiz Me encantaría jajaaja
jonathanbuenfil,17886844999192773,Ya me hace falta un tour por alguna zona arqueológica 😱
edificiosmayas,17912618203063105,@jonathanbuenfil Vamole!!
luisbones,17899738621111569,Las piedras que están en escalerita creí que era un cocodrilo 😂👌
edificiosmayas,17886741067156207,@luisbones jajajaajaaj
