https://www.instagram.com/p/Be8dX5sAonH/,hashtags:,#Uxmal,#Yucatán,#travelmid,#travelyucatan,#travelmexico,#culture,#igers,#igersyucatan,#RedescubreYucatan,#YucatanVenPorTodo,#yucataneando,#gopromx,#natgeomx,#mexico,#mexicomagico,#history,#travellife,#mexigers,#mexicodesconocido,#mexicomaravilloso,#mayan,#mayanruins,#edificiosmayas,#viajeros,#mexicolindo,#instapic,#instatravel,#mundomaya,#vivemexico
username,comment_id,text
dragonmexicano,17897905849174824,Tu galería es perfecta ! 😍😍
edificiosmayas,17929186522013226,@dragonmexicano 😍 Gracias 👏👏👏
lizphylomeno,17896359400182175,Sabes si aún esta el espectáculo de Luz y sonido?
edificiosmayas,17910585271103514,"@lizphylomeno Si esta el espectaculo, fui hace como 3 semanas y esta 👌"
packortiz,17849747701232101,CHEVERE EL ENCUADRE BRO
edificiosmayas,17895601528159411,@packortiz Gracias mi amigo!
ixchelmoralesm,17895749116157475,@aralhesa @ijossy
luisbones,17924426596063360,Rompiéndola como siempre Oswaldo!
edificiosmayas,17924115061006560,@luisbones Intentandolo jajajja saludos brou!
lartist_salon,17863085278221858,wow!!
edificiosmayas,17892567385168471,@lartist_estetica :D
isra_sanchez,17883206149195366,Excelente foto amigo. Aún me falta conocer Uxmal! Ya vendrá el día
edificiosmayas,17846077579246911,"@isra_sanchez Te encantará estoy seguro, saludos amigo!"
