https://www.instagram.com/p/BhrZN5VApVJ/,hashtags:,#igersyucatan,#yucatanpeninsula,#haciendas,#mexico_tour,#vive_mexico,#visityucatan,#yucataneando,#redescubreyucatán
username,comment_id,text
topyucatan,17908718263462561,🔥
lilibretonweddings,17938254589106140,👏
alexiagrp,17851139185261048,@victor_marj
mmartins.sbu,17866460587236843,Oswaldo W W W . U P A R S E G U I D O R E S . COM#GeBnU4RK9 tGl7CoolJ8
efrencanela,17939651554028365,Muy bello reflejo 👏👏
yucatantoday,17923662031123610,@alexandredegoute quelqu'un fait du bon travail
josuemedina,17912736487133026,Nice Pic dude
edificiosmayas,17931579295079274,@josuemedina Thanks man 👌
luisoortega,17914257187140392,Wooow ese reflejo esta como de revista!!
edificiosmayas,17938195528044920,@luisoortega se ve bien bonito verdad? Saludos amigo!
luisoortega,17910944668149152,@edificiosmayas si muy bonitoAa
fernando_vela,17910463564153319,Que bonito! Es un hotel?
edificiosmayas,17866193806233103,"@fernando_vela Si amigo y esta de lujo, una belleza!"
cesahp,17933424949066355,Hermoso reflejo 😍
edificiosmayas,17938348348001569,@cesahp Esta increible el lugar!
gogonzaexpeditions,17880154984202543,Padrísima foto Bro cuando vamos
edificiosmayas,17930037559075252,@gogonzagar Pronto pronto!
edificiosmayas,17877820879216382,"Bro esta de lujo, tenemos que ir!"
captureyuc,17938874179022490,Hermosa foto Bro está padrísima
callmevans_,17938428538044225,"Sumamente hermosa, esos reflejos son increíbles!!!"
edificiosmayas,17919895150094206,@nya_leedahno Te la recomiendo mucho!
callmevans_,17931084208077458,@edificiosmayas Espero ir pronto! 😊
