https://www.instagram.com/p/ByWbgqKA6Sy/,hashtags:,#Yucatan,#mexico_amazing,#meridayucatan,#travellers,#mexicoenunafoto,#mexicodestinos,#igersyucatan,#pasionxmexico,#pasionxyucatan,#meencantasyucatan,#VisitYucatan
username,comment_id,text
martinezonuel,17932766288677730,@supyciau91 mira esto!
cleronne.fashiongroup,18013029790205275,😍😍😍😍
aanahiug,18050255098124510,"Que parte de merida, esta? 😱"
ontravelers,18056185465096492,😍😍🔝🔝
edificiosmayas,17846784304464559,@ontravelers 👍👍👍
dclaudiap,17845844209465387,Mansión Foster obviaaa
edificiosmayas,18073601614008786,@dclaudiap 😁
luisoortega,18040999021153265,Chulada me recordó a un pueblito de europa!! La haya
edificiosmayas,18073836739046970,@luisoortega gracias amigo! 👌
a.a6e1,18078090922024712,Edificio maya? 😱
paoo4,17970214828267609,Aaamo esa casa es de sueño 😍
taltos,18075251896033641,😍
haciendapetac,18072834781013993,💛
edificiosmayas,17860783303418252,@haciendapetac 👍👍👍
josetwitts,17938586929295352,Que bello es lo bello
edificiosmayas,18031313380168148,"@josetwitts gracias amigo, tú no eres feo!"
josetwitts,17861744401413694,@edificiosmayas ojo aquí cuídame que me pierdes @juliolealortiz
edificiosmayas,18076223947054771,@josetwitts jajajajaajajaja
carlosmog6105,17970616777270245,Es el Pinar?
juliolealortiz,17994080539242391,"Disculpa, es mi propiedad, me gustaría que bajaras la fotografía o solicitar permiso. Saludos Lic."
edificiosmayas,17851259437448945,"@juliolealortiz jajajajaja disculpe inger, no vuelve a pasar!"
alfrekjv,18054908191105323,Increíble foto Oswaldo! Me encantaron los tonos de colores.
edificiosmayas,18073989700055295,@alfrekjv muchas gracias amigo!
verdeguillen,18063640852074756,Excelente amigo!
edificiosmayas,18073130908025557,@verdeguillen gracias bro! ❤️
joesantanab,17895347305326608,Se necesita algun permiso?... quiero tomar una foto ahi hermano
edificiosmayas,18005298100212300,"@joesantanab pues me imagino que sí bro, yo solo metí la mano! 😁"
joesantanab,17978663515252593,"@edificiosmayas No contaban con su astucia jajaja, parece como si estuvieras adentro"
edificiosmayas,18054838111106786,@joesantanab si da esa impresión jajaja
jonathanbuenfil,18064446442072166,Perrisima!! Y también la foto 😂
edificiosmayas,17871050419379879,@jonathanbuenfil jajajajajaajaj gracias amigo!
