hashtags:,#Mérida,#México,#Yucatán,#turismo,#cultura,#fyp,#entrevistas
post_url,username,comment_id,comment_text
martinezlucio,17974052618722018,https://www.instagram.com/p/DH6vKJ7vcSQ/,"Híjole yucatecos! Yo soy de Guerrero, toda la vida en Florida. Mi primer viaje fuera del país (sin mi mamá), fue a conocer Chichén Itzá y Tulum, en 1996. Quedé anonadado cuando primero aprendí que teníamos pirámides (eso antes del internet). Ya regresé en 2003, en crucero a Cozumel-Isla Mujeres. Toca regresar otra vez para conocer El Tren Maya, los cenotes, ríos subterráneos y tanto más!"
luisfermint_oficial,18082847311646535,https://www.instagram.com/p/DH6vKJ7vcSQ/,Soy yucateco y no he ido a la casita de paja
le_dicen_la_lola,18271851391281239,https://www.instagram.com/p/DH6vKJ7vcSQ/,😂😂😂😂😂
lorenzo20mx,18304791631238380,https://www.instagram.com/p/DH6vKJ7vcSQ/,San Crisanto 😭
charlo_chars,18131877457405014,https://www.instagram.com/p/DH6vKJ7vcSQ/,"Los que nunca han ido a chichen, la neta no se pierden de nada 🤷🏾‍♂️"
hectorkm56,18004719872734523,https://www.instagram.com/p/DH6vKJ7vcSQ/,Papis ? Jaja
vicgochan,18491352448044757,https://www.instagram.com/p/DH6vKJ7vcSQ/,Waaaaay todo mundo hemos ido a papis jaja
edificiosmayas,18055881824149875,https://www.instagram.com/p/DH6vKJ7vcSQ/,@vicgochan Gpi
bernatfer2,18018398507692304,https://www.instagram.com/p/DH6vKJ7vcSQ/,@vicgochan que es papis?
guerreros_aztecas,18080591650727094,https://www.instagram.com/p/DH6vKJ7vcSQ/,🐾🐾🐾🌪️⚡🧑‍🎤🫴🫲😵‍💫🫱🧎🤸🥷🏴‍☠️
pptotravel,18015839723678183,https://www.instagram.com/p/DH6vKJ7vcSQ/,"Nadie a ido a Chichén Itza way pero les doy la razón, hay mucho más sitios arqueológicos sorprendentes como Ek-Balam."
edificiosmayas,18336400147085038,https://www.instagram.com/p/DH6vKJ7vcSQ/,@pptotravel me gusta ek balam mucho! Pero Chichén es bien mágico :)
pptotravel,17962635812910157,https://www.instagram.com/p/DH6vKJ7vcSQ/,"😮😮😮 Ajale, verdades sorprendentes"
juliolealortiz,18041802137420291,https://www.instagram.com/p/DH6vKJ7vcSQ/,No conozco tu casa
edificiosmayas,18089339335591458,https://www.instagram.com/p/DH6vKJ7vcSQ/,@juliolealortiz jajajajajajaajaj
ginn_amaya,18497116642031959,https://www.instagram.com/p/DH6vKJ7vcSQ/,Homunnnnnn
edificiosmayas,18063786991987404,https://www.instagram.com/p/DH6vKJ7vcSQ/,@ginn_amaya no te creo
eduardogarciaofc,17864305791364723,https://www.instagram.com/p/DH6vKJ7vcSQ/,Mori con el de papis!!😂😂
