https://www.instagram.com/p/DIhRTIoTnV_/,hashtags:,#Mérida,#Yucatán,#fyp,#paratii,#entrevistas,#cultura,#turismo
username,comment_id,text
glendadena,18303827809210783,El sorprendido fue otro jajaja🙌🏼
edificiosmayas,18086236018617962,@glendadena jajajajajaajajaj
ginn_amaya,18037661387275321,Donde comemos café con globitos jajajaja
miguelfritz,18367094344130219,Soy de donde las arañas hacen su nideee !!!!
cuauhtemoc_1521,18062101091018847,🙌🙌🙌🙌
edificiosmayas,18064829933493019,@cuauhtemoc_1521 👏👏👏
juliolealortiz,18058549028130764,Soy de la tierra del pozole rojo
mikediazphoto,17865304149366973,Dónde hacen los papadzules!? 😮
edificiosmayas,18268580182260003,@mikediazphoto jajaja eso mismo pensé!!
cachi290.c,17906665941133998,😂😂😂
edificiosmayas,17991336455640007,@cachi290.c 😂
cachi290.c,17984785739804431,Tú eres del mar seco? @edificiosmayas
edificiosmayas,17949725318957598,@cachi290.c jajajajajajajajajaajaj mi natal tixko
rodcafx,18065176510971342,"Catedral del Panucho ?? Conozco a ""capillitas"" con panuchos 😅🤭 !!!"
edificiosmayas,17914749366097225,@rodcafx jajajaja kanasin city
omarocruzhu,17952791075809765,😂😂😂
aldoglezcas,18133384294406830,De la tierra del faisan y el venado!
eduardogarciaofc,17972228210847735,Ahh yo soy del pueblo! Jajaja 😂
tlacochcalcatl_est,18026213174667702,"Puro Felipe Carrillo Puerto, que viva Chan Santa Cruz y los Cruzoob 💪🏽"
pueblosdemexicoconhistoria,18025271012475588,"😂 excelente dinámica, ya antojaron visitar Yucatán y sus pueblos. 👏"
edwintgda,18319679551207494,Yo viéndote adivino que eres de un municipio de Yucatán que se me conoce por un mar seco 🦀
edificiosmayas,17879086866284487,@edwintgda JAAJAJAJA MI NATAL TIXKO
