https://www.instagram.com/p/DN37BBej7lQ/,hashtags:,#CDMX,#comida,#meridayucatan,#foodie,#fyp
username,comment_id,text
juliolealortiz,17892302343307921,Se ve buenísimo!
edificiosmayas,17968263251946215,@juliolealortiz lo está bro! 🔥
ginn_amaya,18181562167335372,Se ve delicioso 😍
edificiosmayas,17880976416373776,@ginn_amaya está muuuuy rico ❤️
huarachesdonjuan,18064439825216858,"Muchas gracias por tu visita, nos encanta tu contenido! Tendremos una sorpresa para tus seguidores 🫶🏽🤤"
edificiosmayas,17872596249419848,@huarachesdonjuan gracias a uds!!! QUE SORPRESA!!!!!!!!!!????
elguiadeexperiencias,17862550554462697,Si se antoja
edificiosmayas,18039213920410396,@elguiadeexperiencias da tu tanda! 🙌
elcocoyol,18079474810752214,GPI pelana 👏
edificiosmayas,18524879488001856,@elcocoyol mmmmm velooo
andyyyycita,18233405815291552,😍😍
edificiosmayas,18033752381695520,@andyyyycita ❤️❤️❤️
veroli_contreras,18099162928625453,"Está delicioso todo lo que he probado muy recomendable, y si no lo crees pruébalo terminaras siendo cliente frecuente cómo yo"
edificiosmayas,18176584858341665,@veroli_contreras correcto ❤️
gaby.manzanillat,18020764190550780,Todo delicioso y las salsas está de 10.!!!!😋😋😋😋
edificiosmayas,17905658757228939,@gaby.manzanillat todo muuuuy rico sin duda alguna ❤️
dime_.xime,17997902147812392,Alguien diga algo del tamaño del pambazoo
narud.shiro,18078448463476002,Deja tú el tamaño. El sabor!!! 🤤👌💯 Y aunque soy de muy buen diente nada más puedo comerme uno.
edificiosmayas,18017706677777041,@dime_.xime enorme 🔥
ojosvolando,18020943779735188,Si está bueno o puro pedo?
edificiosmayas,18075293009049780,@ojosvolando pozole papá grandes ligas!!! Muy bueno todo!
huarachesdonjuan,17935098681078839,@ojosvolando te invitamos a que nos des tu reseña 😏😉😮‍💨
blankitamorales,18114304597518591,"No manches Paquito!!! Tienes que ir, está muy rifado! Nosotros fuimos por los huaraches pero nos quedamos por la pancita! El pambazo, las quesadillas y la tostada de pata, están buenísimos!!!!!!"
anacronautamx,17977443995910154,Nada más antojas!! ❤️❤️
edificiosmayas,18075627338009367,@anacronautamx vamoooos hijo! 🙌
