https://www.instagram.com/p/DNB9Q0dPjua/,hashtags:,#Yucatán…,#entrevistas,#meridayucatan,#cultura
username,comment_id,text
ginn_amaya,17895206181269092,Jajajajjajaja
edificiosmayas,17946641579892320,@ginn_amaya jajajajaaj
ginn_amaya,18134036224432541,Jajajaj
elcocoyol,17942299182020358,Jjajajja
josuemedina,18106663885546230,Way eñ eñ (ñeñe)
edificiosmayas,18167400124361726,@josuemedina saludos Alberto
ginn_amaya,18029997431686797,A la niña hay que ponerle tache ❌
edificiosmayas,18073497998275525,@ginn_amaya jajajaja
koriasyt,18136723033426757,Yo te digo el significado de las 5 estrellas ⭐️ pelana ⭐️ xic ⭐️pek ⭐️ kisin ⭐️ Kukulkán 🙌😂
edificiosmayas,17948116454881828,@koriasyt maaaaa que conocedor!
