https://www.instagram.com/p/DNO5TabPpku/,hashtags:,#Mérida,#yucatan,#coleccionismo,#escala,#modelismo
username,comment_id,text
ginn_amaya,18051906902571044,"Que bello todo, me encantan ese tipo de piezas ♥️"
edificiosmayas,18302652472223131,@ginn_amaya hermoso todo!
idk_nerth,18075833774486180,@edificiosmayas tienes de fórmula 1?
gomitaverdee,17931581012960777,@moi_chacon9 un día podemos ir? Es que me gustan los carritos
moi_chacon9,17944698992905522,@gomitaverdee Chií vamos un día amorcito
veroplantae,18074657282492194,😍😍😍
edificiosmayas,18071979731010267,@veroplantae 👏👏
urielrosasche,18074636038825666,Yo quiero el bay y ven el yutong
jcmf101,18307856635174578,alguna forma de contactarlo por favor
edificiosmayas,18361648519154601,@jcmf101 999 144 7272
sahilili,17867866320371973,@edificiosmayas no contestan
sahilili,18078999862811591,Alguien ya se pudo contactar???
utag14q,17998188344805304,Que cuestan?
edificiosmayas,18032835599492873,@utag14q empiezan los precios desde los 200
joseluisvazquezchan123,18524636773048865,Yo pensé que ahí te asaltaban o era un bar de mala muerte
benjaminaglopez,18045826034315486,"Oh no, por culpa de éste reel van a agotar todo el stock dejándonos sin nada."
milenne.mx,18059425382581323,Es el objetivo del reel! 🫰🏻🫰🏻
mooyam_photo,17997654884656190,@matt_photocars
matt_photocars,18172647109345339,@mooyam_photo a todo darr voy a ir gracias bro!
35_lskdn,17891621337184167,Saca la flema por favor
itzz_nnicole,18064403576263891,Me quedé con ganas de subirme a un vayven
barroso_ariana,17871295050441426,@capri2090
bennywtc,18096806218670876,Donde esta ubicado???
ferchos563,17894716155184433,que chido 😃
annheleddyth,18070419017238553,Ay perdón.. que bruta..sale la.direccion al.principio..jajaja perdon
annheleddyth,18080189380796952,Donde se encuentran..
ninja_zx6r.h2r,18091400656787811,En donde se ubica? Para ir 🙌
wiliammayo,18078937930989906,Hacen envíos.?
joseantoniotorres976,18059655893370797,Algún teléfono o watsap
real_shlt00,18525699667026143,A cuanto esta el va y ven y el charger de la estatal?
yuls_ruizt,18019301267756859,😍 que venda avioncitos también
jaurec23,17877244224401600,Mandas a la CdMex? y uno envía el modelo a construir
david.serna.5876,18077785333792143,"@bernardo_brownhope @aranzalcala @yortchi09 ¡Debemos Ir, Quiero Ver esos 🚗 Diecasts!"
medico_a_domicilio_merida_yuca,18524987680063623,Me encanta 😍
medico_a_domicilio_merida_yuca,18084731755880472,😍😍😍😍
betito.sanchez.1441,18516422530017757,👏👏👏👏👏👏👏👏👏
aletg117,18071184452169400,Realizan envíos? Busco un Datsun blue Bird
marivieras12,18024968171525443,Merida Venezuela
marivieras12,18544298908008347,😍😍😍😍
1sixcollectors,18041815700343921,Tienen en escala 1/6???
francisco.vigueras,18064274522255704,Tiene Instagram el negocio?
davidflores927758,18091034143736268,Tienen camiones Blindados de Cometra ?
florellycullen,17979603569741022,"DONDE ESTA HUBICADA LA TIENDA, NECESITO IR A VER DOS CAMIONES"
lau_ruiz2000,17931252297089326,"La dirección del lugar me la puede proporcionar, gravias"
lau_ruiz2000,18058590944087793,"Buenas tardes, en donde se encuntra"
eleazar__reyoca,18083366944860859,"Pero las versiones de los modelos yucatecos deberían estar chocados, va y ven, patruyas, bomberos y así."
salmacis_undies,18068869448167850,Esta padrisimo!
graciela_consuelo,18416150470104194,@oxidonitro
marcozunigagonzalez,17924722992101823,Tienes camionetas Toyota Hiace modelo 2016 - 2019
fafaper13,18303998104223832,Donde es Merida ?
newnicomr98,18075156412950848,@c.h.u.c.h.o_23
dea_very,17915056251161732,@juanjosegarcia_ @chgarcia87 miren
poli_cohuo24,18527268694048741,Necesito iiiiiir
metricervantes,18093778624634932,dirección por favor
vladimir._pereira,17975478938910908,Yo le compro a él carros a escale 🙌
tunadecat,17877552621388255,WEEEEEY NECESITO
ruben7batista,18017718761769513,No tienes la camioneta saveiro
hopcita9,18418165150108295,Aceptan tarjetas de crédito??
anttos_.80,18058146356100254,Dirección amigo?
jiaco24.8,18035395814466468,Dónde
angelperez_409,18086700169648387,"Que chido, que caro, jalo 🌹✨"
cesarperez54,18131363056449908,"Felicitaciones. Me gustaria un pick-up Datsun, 1200."
karla_astrologia,18059924321368635,En que calle está?
xr304_37,18073886626996290,que escala son
rodrigo_jones,18021288431724842,DURO!
arielobo,18070339796144103,Necesito el contacto de ese lugar🙌
asarosa54,18066924401333799,"Sí vamos, no vas a querer salir de ahí @ponchowars 🔥"
saulramirez9599,17891637336299080,Domicilio y como contactarte
sodocarnage,17917539126155364,Tendra el Agera?
61batman,18074377121101174,Tiene un batimovil ?
jcesar.avilamercado,18038794373401489,"Buenas tardes, tendrás una chevrolet silverado 2002 400 SS en color verde"
jcesar.avilamercado,18535389016041897,Tendra una silver
chuche.fotografo,18106805995489351,😮😮😮😮😮
anacronautamx,17978343827896791,Bellísimo!🙌
scalatrc,18063875330245044,👍🏻🏁👍🏻
rafetorr,18070353038278733,Hay maquinaría pesada
clau.ardilla,18018076151741687,Como se llama el lugar?
josue_ortega1,17968414982937843,Quiero comprar ? Algún número donde los pueda contactar
