hashtags:,#Sisal,#mariscos,#yucatan,#pueblomagico,#turismo,#visityucatan,#foodporn,#foodie
post_url,username,comment_id,comment_text
claudia.vargas.330467,18028334702739062,https://www.instagram.com/p/DPhVgk3EeDo/,"Es lo más delicioso del mundo, ya fui y necesito volver ❤️"
ginn_amaya,18323689096215840,https://www.instagram.com/p/DPhVgk3EeDo/,Ya deja de antojar 😢  se ve de 10000❤️
edificiosmayas,17984993879856034,https://www.instagram.com/p/DPhVgk3EeDo/,@ginn_amaya vamoooos
edwintgda,18368458525158066,https://www.instagram.com/p/DPhVgk3EeDo/,A mi la empanada que me gusta es la tuya bebé @edificiosmayas
edificiosmayas,18037979045492486,https://www.instagram.com/p/DPhVgk3EeDo/,@edwintgda jajajajaajjajaajajaj
juliolealortiz,18071311814187203,https://www.instagram.com/p/DPhVgk3EeDo/,Se ve de lujo!!
edificiosmayas,18328776667238821,https://www.instagram.com/p/DPhVgk3EeDo/,@juliolealortiz maaaaa si la neta bien rico bb
labrisa_delmar1,18056573840245107,https://www.instagram.com/p/DPhVgk3EeDo/,"@juliolealortiz  está de lujo 😍 
aquí te esperamos 🔥👏"
cristtipimentel,18044958632659971,https://www.instagram.com/p/DPhVgk3EeDo/,Me urge ir a ese lugarr que rico😍
morenamia_mid,18092389693691827,https://www.instagram.com/p/DPhVgk3EeDo/,Invita
albertoperezr,18093957076792027,https://www.instagram.com/p/DPhVgk3EeDo/,Yo conozco al marisco mas impresionante de Caucel.
