hashtags:,#meridayucatan,#tapioca,#fyp,#viral,#yucatan
post_url,username,comment_id,comment_text
ginn_amaya,17917832103251139,https://www.instagram.com/p/DTWL4tXj0sk/,"❤️❤️❤️ Con esos please, please!!!
No me pudiera negar"
ginn_amaya,18178165870370693,https://www.instagram.com/p/DTWL4tXj0sk/,Me encanta bubbaaaaa
candiimery,17919472704246431,https://www.instagram.com/p/DTWL4tXj0sk/,Calidad en cada sorbo 👏Me encanta😍
aldoglezcas,17864513739477327,https://www.instagram.com/p/DTWL4tXj0sk/,😂
ginn_amaya,17930582391030869,https://www.instagram.com/p/DTWL4tXj0sk/,Team tapioca obvio
juliolealortiz,18091803437304850,https://www.instagram.com/p/DTWL4tXj0sk/,NO ANTOJES 😍
candiimery,18101714395827839,https://www.instagram.com/p/DTWL4tXj0sk/,"@juliolealortiz Te estás tardando nene, falta la tuya 🙌❤️"
eduardomatu11,18384537346149320,https://www.instagram.com/p/DTWL4tXj0sk/,@bubbaplop  que nos manden una a Canadá 😔😔
ginaamayali,18087686359856723,https://www.instagram.com/p/DTWL4tXj0sk/,Dónde se ubican se antojan 🤤🤤
bubbaplop,17848871283601480,https://www.instagram.com/p/DTWL4tXj0sk/,@ginaamayali https://shop.upmy.co/bubbaplop-store/info
