username,comment_id,post_url,post_hashtags,comment_text
katiamolinag,17920611690088807,https://www.instagram.com/p/DUHSsgiFFrK/,N/A,"Jajaja 🤣🤣 ahora sí hasta hace una presentación, pero que tal la primer reunión????"
katiamolinag,18193370992339672,https://www.instagram.com/p/DT5ZoOSEqge/,N/A,Excelente 👌 si para seguir estando seguros
stefanysotoo,17998953041714684,https://www.instagram.com/p/DTvooZQkevy/,N/A,"Habla de la venta sin membresía en ventanillas de Ticketmaster, cuando se dijo que sería solamente con membresía army 😡😡😡😡😡😡 muchas armys quedamos sin boleto gracias a los revendedores quienes los están vendiendo en más del doble del costo del boleto 😤😤😤"
miguelnavaloria,18061564538309950,https://www.instagram.com/p/DTvfAJVkipP/,N/A,"Si suben y los polis andan en sus celulares, o dormidos en las patrullas de periférico 😂"
antoinekobrossi,18101139529858817,https://www.instagram.com/p/DTlNVA6FS7j/,N/A,👏👏
rolypacho,17975963063970406,https://www.instagram.com/p/DTlNVA6FS7j/,N/A,Sera que algun día le hagan un juicio?
rcarballo.m,18140566927473380,https://www.instagram.com/p/DTiNiM3lBPz/,N/A,Cómo es posible ? Cuando la prioridad siempre debe ser el peatón y la bicicleta son los que más viven en peligro.
ernesto_pperaza,18076985306206040,https://www.instagram.com/p/DTVsJCkET60/,N/A,Felicidades por este contenido ! Muchi éxito !🙌
ricardoperez5752,18091683314092544,https://www.instagram.com/p/DTTvTXoDf4z/,N/A,"Ahí tienen sigan permitiendo la disque reinvención de nuestra comida regional que desde siglos ha sido una de las más valoradas por eso mismo por que vienen de siglos con sabores únicos no por que un disque chef que sabe de cocina viene a hacer una burla y mediocridad con la gastronomía de nuestros estado paso los mismo con los disque papadzules que prepararon en venga la alegría, pero bueno les gusta conformarse con cosas como esas"
josefranciscosanchezborges,18074544161458538,https://www.instagram.com/p/DTThsElE4E4/,N/A,Cuando un Mercedes Benz Volvo audi se conduce en el sur te tiran la lamina se creen dueños de la ciudad
rolypacho,17988793838923853,https://www.instagram.com/p/DTThsElE4E4/,N/A,"Espero que el conductor del coche rojo tenga asegurado su vehículo y responda por el daño a los otros vehículos,  pregunta seria,,, Estaba conduciendo alcoholizado ??"
monicaivonnelaraguzman,18062050376289004,https://www.instagram.com/p/DTThsElE4E4/,N/A,Pero si siempre manejan así en Yucatán!!!
hiroshikolima,18078314639256488,https://www.instagram.com/p/DTIjo_OjgSE/,N/A,😮
navarrozarinana,17918780694090577,https://www.instagram.com/p/DTEc1o7j5_A/,N/A,Terror en Piste
tumacho1243,18117041113510223,https://www.instagram.com/p/DS8nmNdDSZ0/,N/A,Y debería incluir  metidas de pito
rolypacho,18070369568111927,https://www.instagram.com/p/DSz64ZxjlNu/,N/A,"Que bueno que ya nadie puede dejar su marca y destruir ese sitio sagrado, soy de lo afortunados que entramos a ese recinto sagrado"
fabis.mtz,17992687946863562,https://www.instagram.com/p/DSyNkCfD7FX/,N/A,Que falta de conciwnscia.
soy_eloswald,18093981610733742,https://www.instagram.com/p/DSq6o4iDw7E/,N/A,“Pobre mujer”
elsalvafiestas,18082130648269993,https://www.instagram.com/p/DSoV1R6mLsF/,N/A,Y q tiene😂
rolypacho,18067598762452948,https://www.instagram.com/p/DSlJkK7AV0X/,N/A,"Buen Show, le van a llover contratos"
bzahoul_,18079450274219056,https://www.instagram.com/p/DSlJkK7AV0X/,N/A,Mis respetos al payaso !!!
martha.criollo.9250,18184581319358805,https://www.instagram.com/p/DSknjcokinI/,N/A,😢
benjamin_p_r,18047862701473807,https://www.instagram.com/p/DSfkMockmBV/,N/A,No que muy v3rg4s??? Si te llevas te aguantas… Sin yolanda maricarmen… 😂
navarrozarinana,18121176355527804,https://www.instagram.com/p/DSfkMockmBV/,N/A,Cómo vas a contratar a alguien que te debe millones
juan_swp,17904550239317871,https://www.instagram.com/p/DSODi8Tgand/,N/A,"Por que no dan el programa, que interpretaran"
liliylinda94,18031177652758768,https://www.instagram.com/p/DSJVbYxGF8r/,N/A,En Colombia existen la vacuna contra la influenza
