hashtags:,#PLAYADELCARMEN,#YUCATECOSOY,#STANDUP
post_url,username,comment_id,comment_text
lapompaflotante_,18026810464997300,https://www.instagram.com/p/C5EL-E5rpVA/,jajajajajajajajajajajaja
aldo_ugm,18043454815676489,https://www.instagram.com/p/C5EL-E5rpVA/,JAJAJAJJJJAJAJAJJAJJAJAJAJAJA no maaaaaaaaaa eres graciosisimooooooooo ni Franco Escamilla ni Adrián Marcelo le llegan a tu nivel de creatividad!!!! Eres el mejooooooooor
oscarestilla,18043899007663254,https://www.instagram.com/p/C5EL-E5rpVA/,👏👏👏
jbaquedano,17961617843724830,https://www.instagram.com/p/C5EL-E5rpVA/,Jajajajajja pasado de gaver
lennarram,17899193405967823,https://www.instagram.com/p/C5EL-E5rpVA/,El final jajajaj
selianrebolledo01,18018432446139372,https://www.instagram.com/p/C5EL-E5rpVA/,Jajjajjajajajajaja
mauricioaruizp,18083257381447357,https://www.instagram.com/p/C5EL-E5rpVA/,🔥🔥
leodelrio6,17998273952531505,https://www.instagram.com/p/C5EL-E5rpVA/,🔥🔥
lapawiimx,17882012496023567,https://www.instagram.com/p/C5EL-E5rpVA/,NO MAMES YO PASO POR LA 60😂 espero toparme contigo pronto
eljuanamaro,17918144837871592,https://www.instagram.com/p/C5EL-E5rpVA/,@lapawiimx espero que si ahí estaré pa robarle una sonrisa
chavagina,18022151324312576,https://www.instagram.com/p/C5EL-E5rpVA/,Buena referencia a mi Jerry seinfeld
cristinadecolores,18039330214776066,https://www.instagram.com/p/C5EL-E5rpVA/,Como que no tiraste el del volcho con pezones coñoooo ese era el bueno 🔥🔥🔥
eljuanamaro,18013985147334841,https://www.instagram.com/p/C5EL-E5rpVA/,@cristinadecolores jajjajjajaj no me iba a dar el tiempo 🙈
frxnkstevens,18028117318946039,https://www.instagram.com/p/C5EL-E5rpVA/,Eh muchas gracias
eljuanamaro,18262528312226201,https://www.instagram.com/p/C5EL-E5rpVA/,@frxnkstevens hay que ser siempre agradecido 🙏🏻
lanko__2,17919072905885872,https://www.instagram.com/p/C5EL-E5rpVA/,Igual y el de Succession usa mototaxi.
chiviscardenas_,18019722401292384,https://www.instagram.com/p/C5EL-E5rpVA/,"HAHAHAHAHA que buen show, fue un sold out"
eljuanamaro,18258477124214966,https://www.instagram.com/p/C5EL-E5rpVA/,@chiviscardenas_ se escucharon los motores al 100!!!
chiviscardenas_,18036427225693464,https://www.instagram.com/p/C5EL-E5rpVA/,"@eljuanamaro es lo que veoooo, no dejaba de llegar gente! 😱 hubieras grabado tu especial ahí"
charlytosis,17932131437828530,https://www.instagram.com/p/C5EL-E5rpVA/,¿Tu fuiste en bici al semáforo? 😂😂😂
eljuanamaro,18030068617784390,https://www.instagram.com/p/C5EL-E5rpVA/,@charlytosis fui CAMINANDO #ECOLOGY
charlytosis,18053182093604306,https://www.instagram.com/p/C5EL-E5rpVA/,@eljuanamaro que raro... Ni una gota de sudor tenías. #NoTeCreo #FueraJuanAmaroDeGobernador
amandasernaa8,18223324327281268,https://www.instagram.com/p/C5EL-E5rpVA/,muchísima gracias
