https://www.instagram.com/p/C5rYIdgrLYu/,hashtags:,#YucatánMásMejor
username,comment_id,text
jbaquedano,18001758062526175,Yo que pensé que era puro mame 🚂
josue_perazza,17884454727034639,jajajajajaja rifadoo
gonzalezjose_,18026949520998217,La cara del bonaisero 😂😂😢
eljuanamaro,17970126365587998,@gonzalezjose_ una cara de ORGULLO YUCATECO
becky_opalma,18010591667342167,Si no fuera humilde podría hacer esto :  Jajajaja
eljuanamaro,18005084177433541,@becky_opalma 😂😂😂
estebanlizarraga.96,18049000198718096,Ya quiero que salga merch
eljuanamaro,17869087449093615,@esteban.lizarraga muy pronto! 👌🏻
st.morton,18020134334488866,Siempre con mi gober!
auroraaumi,17855278980122344,"Yo ni vivo en Yucatán aún, y quiero votar por ti ."
eljuanamaro,18077131357463011,@auroraaumi bienvenida!
edgarsumare,17960499707746793,Nada como saludar a los nativos 👏 humilde mi candidato
eljuanamaro,18110363269369913,@edgarsumare siempre con MI PUEBLO 🫡
nobadaysmx,17915965904912229,Mare si va en serio
eljuanamaro,18041600062695457,@nobadaysmx QUE NO QUEDE DUDA #YUCATÁNMÁSMEJOR
barretaspinzon,17913935423919592,Me gusta lo que estás haciendo
eljuanamaro,18098998282396441,@barretaspinzon gracias macizo 🫡
adrilorde,18044966350672778,mi voto es para ti JUANAMARO
eljuanamaro,18430195570059610,@adrilorde muchas gracias ciudadana! 🫡
ensyamaro,17922076808791437,eso candidato 🙌🙌🙌
eljuanamaro,17917396946906974,@ensyamaro 💪🏻💪🏻💪🏻
ensyamaro,18012496814516468,deja de torturar ciudadanos
eljuanamaro,18293102119092852,@ensyamaro juntos hacemos de #YucatánMásMejor
