https://www.instagram.com/p/C67iatrLYvh/,hashtags:,#Yucatán,#calor,#YucatánMásMejor
username,comment_id,text
delfy_mayen,18092221042983165,Este @eljuanamaro es el que nos faltó ver en LOL
_marioenriquez_,17996639483422702,👏
soymartinmx,17984757227666390,Tienes mi voto
canndies_,17906287538888500,JAJAJAJAJAJAJ😂
chefchinoiz,18014234450116979,Esto es una 💎
eljuanamaro,18036267340758691,@chefchinoiz muchas gracias chef 🫡 lo cocinamos rico pa usté
josemaria_mtz,17961771293755128,Ya se armó la botana! Jajajajaja
scarmeade,18037317766919529,Te sigo en tu campaña !
gelemil,18277863508202589,Convencido!
edwinbcg,18040317568718623,El árbol que culpa se tiene
mariadelrio2,18033984979807821,tiene mi voto candidato.
senor_marrano_,18152030848308680,No soy de allá y ya quiero votar por ti neneeee
jbaquedano,18022412711177684,"Justo cuando creo que no puede ser posible, cada vez te la arrancas más primo, estás cañón. Mi voto es tuyo.
Por un Yucatan #másmejor"
eljuanamaro,18040213855842329,@jbaquedano siempre a su servicio?
glow.up_boutiquemid,17878724298012230,Me da el derecho de piso pa vender micheladas junto a los beerbederos?
eljuanamaro,18028245479076983,@glow.up_boutiquemid podemos platicar la licitación sin problema!
elsinawinks,18091128454437593,👏👏👏
lic_glenmar,18039581566872484,Maaaaaa me voy pa yucatannnnn
dinahrosel,17968922777709996,Mi voto es seguro! 🤣! Vamos por un Yucatán más mejor
dinahrosel,18045144085699024,🙌❤️😂😂😂😂
anniilupiiz,18069962635511875,JAJAJAJAJAJAJAJ mi voto por la bermudita
victormedrano_zp,18314548267181950,"Tiene mi voto, mi apoyo y mi corazón ♥️ salud candidato! #porunyucatanmasmejor"
bellhdzgarrido,17937981074827359,@jluis_borges como ves?? 🥴🙈
naomipalmaherrera,17924934125879759,Candidato q opina de la m0t4?
gretelmorenomx,17999222255540243,😂😂😂😂
farimarin,17924947829883770,Maaaaaaa @eladiosbar que hagan una colaboración porfaaa 😎🙏
keto.pech,18034881343912170,Siiiiiiiiiiii oye las micheladas exprex porfa que lo vote el congreso  mi voto lo tienes y lo voy a poner en la boleta te lo juro erees el mejor  vamos por un yucatan mas mejor🙌
neydi.gutierrez.7399,17924038190794013,Eres increíble hijito me matas de risa 🙏🙅‍♀️🙅‍♀️🙅‍♀️
