https://www.instagram.com/p/C6ISclcA9sJ/,hashtags:,#YucatánMásMejor
username,comment_id,text
maremore,18279489499203963,Jajajajajaajajajaa
thebossllerina,17929762229762781,😂😂😂😂😂😂😂😂😂😂😂😂😂😂👏👏👏
farimarin,17922985442863324,😂😂😂😂😂😂
ivan_suncho,18314462851182070,Yo si le caigo 👏👏👏
eljuanamaro,18082123351414375,@ivan_suncho mandame un DM para que te envie la info ciudadano 🫡
jorgecarlosalonzo,18123774730350943,Es necesario llevar mi INE candidato?
eljuanamaro,18263197990175528,@jorgecarlosalonzo de preferencia pa que te demos tu gorrita
balandranoraul_locutor,18004422047267881,👏👏
floweretbyjanetesquivel,18429860908043726,yo igual quiero una!!!
cocoya_,18017347979224568,Yaaaaa postulate coneoooo
floweretbyjanetesquivel,18028482796852727,@cocoya_ de acuerdo!!!
pristina.bogo,18042556612754060,Yo digo que vayamos al asta 😂 @shantalfrey
ed_gomvaz,18020852360481166,@pristina.bogo yo le estoy pidiendo permiso a @giovanni.ayora y a @claugiann para ir :v
pristina.bogo,18028766933051628,@ed_gomvaz jajajaja ¡vamos! Por un MID más mejor
yairviana,18076746604481459,@pato.rozc 😂
pypetamayo,17921442224874742,Yo quiero mi gorríta :)
eljuanamaro,17916877799914268,@pipetamayomx ya la info en tus DMs mi estimado🫡
balokuas,17875028430078977,"No voy a poder ir pero necesito esa gorra, como la puedo comprar?"
eljuanamaro,18005895008427192,@balokuas te mandé DM con la info mi estimado 🙌🏻
balokuas,18048789808648223,@eljuanamaro respondída gracias mi CANDIDATO
marianitorocha,18023748395122488,Todos en el asta
eljuanamaro,17996554964558368,@marianitorocha ahi te espero mi estimado 🫡
pristina.bogo,18021995435484812,@marianitorocha jajaja
pawwcampos,17917975781911201,Jaajajajajaja alv
eljuanamaro,17917303034911375,@pawwcampos espero verte por ahi! 🫡
