https://www.instagram.com/p/C6pmYjOrOz7/,hashtags:,#debategobernación,#Yucatán,#YucatánMásMejor
username,comment_id,text
realmonts_,18042247534680623,Un gobernador que nos cuente a detalle su vida es lo que necesitamos 🫡❤️
escalantecamara,18166378768307036,Ay yo lo amo 😂😂❤️
renartigas,17963877929726865,@scfc19
scfc19,18296167828087432,@renartigas xddd
dianacastanedam,17865951300105925,👏👏👏👏👏👏👏👏
jorgecarlosalonzo,18045550162707708,Aquí el que ganó es Yucatan con el candidato más mejor preparado
einescastillocuevas,17978180417541287,😂😂😂😂😂
diegopisteg,18092520502424953,JAJAJAJAJA
reyna_nicoli,18330769666136811,Estoy es real? 😵‍💫
anniilupiiz,17877874356014957,JAJAJAJA ese es nuestro candidato 👏👏
pameevela,18122252341358339,@williamsolisperez 😂😂😂😂😂
dclaudiap,18058143433523851,😂😂😂😂
missiabraham,18049214743641409,😂😂😂
jorgealbertoalonzo,17905894835880973,Arrasó con todos candidato! Los yucatecos ya elegimos!
armin.zp.7,18088226161448706,Eres una joya mi Próximo Gober 😍
youadi_ek,17861657292095953,Otra Bomba ia..😅
allanlozquez,18040107388832080,Ya no entendí si son un medio serio o son una sátira cómica ??
elrazikid,18018110885511545,lo cortaron en el mejor momento candidato 😢
gioespinosaa,18011896319147205,😂😂😂😂
lapawiimx,18056683330602907,😂😂😂😂
andreatamayocs,18009188930456548,Wey JAJAJAJAJAJA 😂 amé como a cada candidatura le diste su codazo d forma tan c4gada 😂
kubiinflu,17958386840763001,Arme otra caminata o qlo
arley_alcocer,17861742375098504,Puedo poner tu nombre en la boleta?
monika_sobrino,17950808540790247,Tqm Juan jajajajjajaja
andreamijangos,17881628472052005,Mi voto está contigo
phillmayoficial,18008352509200978,😂😂😂😂😂😂😂
violetaruzc,18057397594578631,Me pasé todo el día esperando este video ajajjajajajajajja tienes mi voto 😂😂
emirpc,18025908566095592,Jajajaja
auroraaumi,17902245539974904,"Candidato, tengo una duda, si uno ya cuenta con dos cenotes, ¿qué procede?"
rodrigo_mis_,18101951488395836,Jajajaaj
maythehm,18150174847311361,JAJAJAJAJAJA amo
dannaarjmx_,18396913786073277,Por un Yucatán #másmejor
dinahrosel,18023573252114869,❤️👏👏👏👏👏👏👏👏👏
gerardo_gallareta,18036117292908027,Jajajajaja
laurissamarrufo,18079836400463189,eres lo máximo
ax.brns,18056819485595312,😆
_pedro_alarcon,18028481666061266,🤣🤣🤣🤣
karla__ac,17976947330692893,Si las próximas gorras no traen al venadito no las queremos 😂
dinahrosel,18050710060720231,Cierto🙈🫢😊
guskavo_5,18024388835124907,Tiene mi voto gobernador 🙌👏❤️❤️unidos hacemos una merida mas mejor
guskavo_5,18287429191166290,😂😂
adry_sanroman9,18032607967824052,Este es mi candidato 😩😩🤌🏻🤌🏻
hedisarmz,17843083446222759,😂😂😂
jorgeflowres,18029084990058115,Saquen raíz cuadrada en vez de elevar 😂😂😂😂
heribertomartinez8600,18024121361170284,Mucha suerte candidato! Abrazo fuerte desde Monterrey
edu_cervera,18024477041484593,Yo estoy con usted gobernador! Hasta el final de los tiempos de Mérida!
marianitorocha,18044052373698536,😂😂😂
michelledelasmuchaslunas,17866027323103569,El mejor candidato ❤️
abraham1221,18009564077184810,Mi candidato ❤️💪🏻
miguelrosadogonzalez,18116725480329347,🤣 tienes mi voto
ensyamaro,18026257247034085,tu venadito se llama gunther😡
iamreneegora,18106285285380949,@ensyamaro justo eso pensé 😂
onlyrod,18079480102464272,LGBT PRO MAX JAJAJAJAJAJAJA😂😂😂
juanpis.juanpis,17855277780171455,🔥🙌❤️
keto.pech,17967176351718888,Vamos con todo por un yucatan mas mejor
keto.pech,17964512885727059,Super tu ganaste el debate jaja
amidanel_rivas,18071657221503296,❤️👏👏👏
