hashtags:,#YucatánMásMejor
post_url,username,comment_id,comment_text
yayolizama,17928889223782604,https://www.instagram.com/p/C7cuRqJJGrW/,"Prefiero la propuesta de Juan, menos forañeos 👏👏👏"
sergioortizc,18107761216390832,https://www.instagram.com/p/C7cuRqJJGrW/,😂 Una placa de Tabasco
estebaanzaragoza,17908362371881970,https://www.instagram.com/p/C7cuRqJJGrW/,Siendo sincero no está mal esa idea de la visa yucateca
iosanth.777,18017857427199698,https://www.instagram.com/p/C7cuRqJJGrW/,🤣🤣🤣
younglupe.97,18305444656152507,https://www.instagram.com/p/C7cuRqJJGrW/,VERGUSIIIIIIMAAA
reed_vader,17958107687780092,https://www.instagram.com/p/C7cuRqJJGrW/,JAJAJAJAJA idolos
missiabraham,18046698304703069,https://www.instagram.com/p/C7cuRqJJGrW/,😂😂
tato_paturi,17922124775806475,https://www.instagram.com/p/C7cuRqJJGrW/,No es por nada pero ya hay más foráneos en Mérida ... Jajajajaja y estamos chingando Mérida 🙄🙄🙄🙄
aaltamiranoc,17955028691784577,https://www.instagram.com/p/C7cuRqJJGrW/,De hecho los tabasqueños se están quejando que hay muchos yucas en el estado
noestoyquieta,18002795450331486,https://www.instagram.com/p/C7cuRqJJGrW/,@aaltamiranoc 🤣🤣🤣
adry_sanroman9,18031325084003204,https://www.instagram.com/p/C7cuRqJJGrW/,JAJAJAJAJAJ tqm
misterfulanito,18013627484145512,https://www.instagram.com/p/C7cuRqJJGrW/,"“Únete a esta”, bien albureado 😂"
ibolioc,17915011373929123,https://www.instagram.com/p/C7cuRqJJGrW/,No
_alexwarrior0,18012914252158983,https://www.instagram.com/p/C7cuRqJJGrW/,"@eljuanamaro padrino yo no nací aquí pero voto aquí, ya pelaste Juanito"
ximenari_,17987658416509336,https://www.instagram.com/p/C7cuRqJJGrW/,¿QUÉ? *en Yucateco* 🤣
itzeelchanb,18045722164693372,https://www.instagram.com/p/C7cuRqJJGrW/,Ay no 😂 magnífico jajajaa
evil_kei,18299285167084025,https://www.instagram.com/p/C7cuRqJJGrW/,AJJAJAJAJJAJAJSJ
vladimir.monje2510,18053108131567178,https://www.instagram.com/p/C7cuRqJJGrW/,As un CROSSOVER con @huachodiazmena.oficial
eljuanamaro,18020625590194201,https://www.instagram.com/p/C7cuRqJJGrW/,"@monje_vladimir Ya se hizo, checa el perfil!"
diana_mids,18052354153629214,https://www.instagram.com/p/C7cuRqJJGrW/,Siiii visa yucateca 👏
mafer_arceo06,17925923723869547,https://www.instagram.com/p/C7cuRqJJGrW/,El mejooor crossover 🤣
cabrera_diaz_diana,17860289256156509,https://www.instagram.com/p/C7cuRqJJGrW/,😂😂😂😂 me encanta Juanamaro que risaaaa
addy_romeroag,17962454354752486,https://www.instagram.com/p/C7cuRqJJGrW/,Ay dios mis paisanos 😂😂😂😂
adrian.rvh,18019315589060951,https://www.instagram.com/p/C7cuRqJJGrW/,Tabasco y California 😂
marielitacasanovaa,17864802420137167,https://www.instagram.com/p/C7cuRqJJGrW/,😂😂😂 buenísimo
paolajanetx,18133348471338381,https://www.instagram.com/p/C7cuRqJJGrW/,🤩🧡🧡🧡🧡
neydi.gutierrez.7399,18047532322741204,https://www.instagram.com/p/C7cuRqJJGrW/,😂😂😂😂😂
ivone_morg,17885547870050449,https://www.instagram.com/p/C7cuRqJJGrW/,Jajajaja la visa yucateca es una excelente idea 💡 ! Morí ! 🤣😅😂😂😂
irbin_flores,18024588494126757,https://www.instagram.com/p/C7cuRqJJGrW/,Me encantó
cesarherrc,18104468911396579,https://www.instagram.com/p/C7cuRqJJGrW/,@jennifer_cen12
capibara_espinosa,18029323988043389,https://www.instagram.com/p/C7cuRqJJGrW/,🙌
thebossllerina,17955080945664582,https://www.instagram.com/p/C7cuRqJJGrW/,Ahhh ;(
neto.celis,18236364505270117,https://www.instagram.com/p/C7cuRqJJGrW/,JAJAJAJAJAJAJA
itsvaleriaarceo,18009682025423135,https://www.instagram.com/p/C7cuRqJJGrW/,El spot te elige a ti🥰💗
joseph_salas7,18313892398151318,https://www.instagram.com/p/C7cuRqJJGrW/,👏🏼😂😂
manuelcmunguia,17930480393771370,https://www.instagram.com/p/C7cuRqJJGrW/,@herreraverde82 este está mejor jajajaja
asolisr,18336283375140644,https://www.instagram.com/p/C7cuRqJJGrW/,Jajaja🤣
henrylopezb_,18007094654278873,https://www.instagram.com/p/C7cuRqJJGrW/,🔥🔥🔥
zlmariana,17984733605670006,https://www.instagram.com/p/C7cuRqJJGrW/,😂😂😂
lilii.cn,18348858256099275,https://www.instagram.com/p/C7cuRqJJGrW/,"Jajajajajajaa, menos foráneos y por un Yucatán más mejor!!!"
_pamegasque,18066005242538643,https://www.instagram.com/p/C7cuRqJJGrW/,Jajajaj
daroli14,18044274412657127,https://www.instagram.com/p/C7cuRqJJGrW/,@_pamegasque la tabasqueña
tonypantojab,18235458742261746,https://www.instagram.com/p/C7cuRqJJGrW/,Yo confiava en ud candidato pero me salio otro bendido mas 💸💸💶💰💰 ya se unio a la mafia una desepsion 🐀🐀🐀
_benjics,17844413784224046,https://www.instagram.com/p/C7cuRqJJGrW/,@tonypantojab HAJAJA tiene reels con todos los partidos checalo
gerardoocampoc,17958147596772931,https://www.instagram.com/p/C7cuRqJJGrW/,😂
maauringr,18229639039281902,https://www.instagram.com/p/C7cuRqJJGrW/,La mejor Gober
maauringr,18025042780950655,https://www.instagram.com/p/C7cuRqJJGrW/,🤣🤣🫶🏻🫶🏻🫶🏻
