hashtags:,#YucatánMásMejor
post_url,username,comment_id,comment_text
gaslo95,18058617685593022,https://www.instagram.com/p/C7k1s1JAsEi/,Ganamos!
danielzacariasmartinez,18046290268696097,https://www.instagram.com/p/C7k1s1JAsEi/,Es un honor estar con #Amaro hoy!
elculichistandup,18031472792071485,https://www.instagram.com/p/C7k1s1JAsEi/,El domingo es puro trámite 😂😂
eljuanamaro,18032685685965851,https://www.instagram.com/p/C7k1s1JAsEi/,@elculichistandup se sabe 🫡
kchyjoubert,18048383422734453,https://www.instagram.com/p/C7k1s1JAsEi/,Hay algun lugar donde pueda ir a comprar la gorra??
eljuanamaro,18103517068396522,https://www.instagram.com/p/C7k1s1JAsEi/,@kchyjoubert si hay te mandammos DM 🫡
misterfulanito,18439392097003258,https://www.instagram.com/p/C7k1s1JAsEi/,"Mucho éxito, carnalito. 

Nos vemos en el Ángel, ¿o cómo era?"
addy_romeroag,18083368717460195,https://www.instagram.com/p/C7k1s1JAsEi/,"La mejor de la suerte, sería un gran triunfo y privilegio para yucatan 😂😂"
yahibi_canul,18021782879265336,https://www.instagram.com/p/C7k1s1JAsEi/,Seguramente harás un Yucatán más mejor cuando ganes el domingo 🥴
balandranoraul_locutor,18059989243568215,https://www.instagram.com/p/C7k1s1JAsEi/,Vamos!!!🙌👏
neydi.gutierrez.7399,18025672313476419,https://www.instagram.com/p/C7k1s1JAsEi/,Seguramente seguirás haciendo un mejor papel🙏❤️
humbertosp19,18065909536488067,https://www.instagram.com/p/C7k1s1JAsEi/,Ojalá que gane candidato!
cbolio.02,18064292938499736,https://www.instagram.com/p/C7k1s1JAsEi/,Póngale condon al Yucatán más mejor que se viene
ditoce93,18058801129588322,https://www.instagram.com/p/C7k1s1JAsEi/,🙌🙌🙌
oyecynthi,17992178042490401,https://www.instagram.com/p/C7k1s1JAsEi/,@vicente_roblesn  @jayalvaa  @paulinase_ 😂😂😂
