https://www.instagram.com/p/CnMoq7ArNOQ/,hashtags:,"#Navidad,"
username,comment_id,text
mikegamboa17,17942654705377648,😂😂
piposolis1,17864694056845854,Hahahaha 😂
eljuanamaro,17967522092120454,@piposolis1 🙈🌞
crrrrrristina,17934195311607618,Soy tu fannnnnn😂
eljuanamaro,18339055786024843,@crrrrrristina gracias Cris 🙈🙌🏻
_karlavanessaa_,17959218014476008,😂😂😂
eljuanamaro,17949243080423034,@_karlavanessaa_ 🤪
danyisra02,18173338534301181,JAJAJA
eljuanamaro,17964054956038286,@danyisra02 🙈🤣
sofiariverod,17858812133868001,Jajsjajjajaja
eljuanamaro,18156503533285168,@sofiariverod 🤪
mrobles94_,17935281161604466,Jajajajajaja este estuvo buenísimo
eljuanamaro,17974331536966752,@mrobles94_ lo hago por ti amigo ❤️
boylocosv,17960658020203916,😂😂
eljuanamaro,17919704744571678,@boylocosv saludos hasta LA compa 🫡
