https://www.instagram.com/p/C09Rp_FLxUz/,hashtags:,#aprobadoporelsoco
username,comment_id,text
jchicoa,18051480235552928,@_nanislife
lizette.canche,17858826333073164,@michpereirac @aloocelis @rominaelena.c @marisol.lopez11 hay que pediiiir
michpereirac,17897163839929056,@lizette.canche dondeeee???? Por el mater hay!! Nos ponemos de acuerdo para el viernes????👀👀👀👀
lizette.canche,18300443089121406,@michpereirac siiii es aquí cerca del mater
el_wady_77,18001369088098129,@aideeaguilar_
rosarionegriita,17849230752105367,Antes que se acabe el año invítame una torta de relleno😍😂 @fatabarbudo
fatabarbudo,18027819661796087,@rosarionegriita no se diga más claro que si!! Qué día?
boris_basulto,18015305140989971,Bien bajado ese balón chiqui
rancho_ibachen,18008725892134312,Ayer vi que andabas ahí padrino
_maldomau,17981461712432232,ven al ceibo de pensiones
