hashtags:,#peleadepeso🥊
post_url,username,comment_id,comment_text
andressoliss4,17888142226653658,https://www.instagram.com/p/CEF66yhJR0j/,Venga soco tu debiste ganaaar🔥
jorgehumberto.celisvazquez.1,18066203248240535,https://www.instagram.com/p/CEF66yhJR0j/,Con todo socooooooo
sabidoserrat,17890038514624363,https://www.instagram.com/p/CEF66yhJR0j/,@daviannajuliette 😱
andresmedina81,17868352111897404,https://www.instagram.com/p/CEF66yhJR0j/,Cuanto pesaste Socotroco???
mauriciogamboa_,17875899247802810,https://www.instagram.com/p/CEF66yhJR0j/,No me lo voy a perder pondré mi alarma bro xD
gutyespadasjr,17857400225135651,https://www.instagram.com/p/CEF66yhJR0j/,Face to face 🥊
betomendozaoficial,17879081917773940,https://www.instagram.com/p/CEF66yhJR0j/,"Con todo Socotrocoooo, desde Medicina y Veterinaria te deseamos suerte @alfredo.m.v  y yo. Ten piedad del guti por favor :("
alfredo.m.v,17851825829239644,https://www.instagram.com/p/CEF66yhJR0j/,@betomendozaoficial No lo dejes tan destrozado Socoooo!
gabo20236,17895825430569906,https://www.instagram.com/p/CEF66yhJR0j/,Maa soco reventaste la bascula chavoo
charss.cg,17864055308005045,https://www.instagram.com/p/CEF66yhJR0j/,Guty no le pegues duro al soco! 😊 Saludos!...
omargfarah,17854677755183291,https://www.instagram.com/p/CEF66yhJR0j/,El sequetreque
eddirescudero,17869780702920531,https://www.instagram.com/p/CEF66yhJR0j/,Te van a rajar el Aniceto soco hahaha saludos hermano y suerte
ecastaldi,18113070706179412,https://www.instagram.com/p/CEF66yhJR0j/,Cuanto pesaron socotroco??
oliver.celmo99,17849790653244930,https://www.instagram.com/p/CEF66yhJR0j/,Con todo padrino!!!! Saludos ✌🏼
nestorlcd,18128951599117096,https://www.instagram.com/p/CEF66yhJR0j/,Bendiceme tío Socotroco 🙌🏼
padronlourdes,17850417284242591,https://www.instagram.com/p/CEF66yhJR0j/,👏✨
huggo.sc,17856022472161269,https://www.instagram.com/p/CEF66yhJR0j/,"Eso es todo soco! 👏 échale ganas, sabemos que dejarás todo en el ring."
