https://www.instagram.com/p/C_yfj7cp1eS/,hashtags:,#Kekén
username,comment_id,text
gustavoefraingamboacampos,18087473791931940,Jajajaja porquería de comida y carísima por cierto y sus dueños ni se diga creen que tienen esclavos y no empleados negreros por eso les va como les va
tachicomk,18338730691151450,Carísimo
riverobanuelos,17932474349955725,"Muuuuuuy caro , pregunta el precio antes de pedir y no es hate es la verdad"
pasitostuntun,18474572980033554,Coca y azúcar.  Ya ni para volver ahi.
gonzalez.jesusmurillo,18037829606204277,uh pues es pura azúcar
ivnsols,18062110426762071,Riquísimas !!! Y todos los antojitos que venden ahí … y el agua de pithaya deliciosa !! Caldo de pavo y vaporcitos ricos !!
josecarlos.alvarado.96199,18066646393661601,"Malísimos los salbutes y carísimos, no se por que la gente sigue ahi, una ves comí ahí y jamás volví , ni volvere"
ginasosacervantes,18470525053023810,QUE CARNE UTILIZO
rogeraguilarcachon,18032680166346317,Muy famosa. No famosísima
mikecetz,18345663025193237,Precio neni
josep_manuell,17965589723688361,Aya te asaltan
monicaaburtogarcia,18471681964011947,Sin jamón y sin queso por favor!
jose.campo.718689,18377240140108842,Caro caro
mimi._diaz._,18036739082200279,Carisimo
julioclemente.gonzalezcruz,17862680550201482,listo ya se murió
julioclemente.gonzalezcruz,18074725888605991,es una grosería el costo. por ello dejamos de comprar para nuestro trabajadores
buendiafr,17906564972961861,No están bueno lo que preparan ahí
christian170680,18037520195010431,"Muy buenas tortas,.una super recomendación es que inviertan en baños para damas !!!! Saludos"
guidobove,18044658469985008,Que hermoso hombre barbudo y peludo me encanta 💋❤🥰
jnovelo73,18064989976617505,"Pierna claveteada que no lleva clavo, queremos ver el mundo arder … jajaja"
alejandroxsp88,18054678658839117,Maaa tendra una poderosa promocion o que opinan?
youngmino_ovz,18032491871013386,@oscarmexa_ jajaja cuando fuimos y llego pero poderosa la cuenta😂
jor_a_lopez,18460071829058560,@youngmino_ovz 😂😂😂😂
riverobanuelos,18376561303108429,@youngmino_ovz muy poderosa la cuenta jejejejej
