hashtags:,#hotdog,#kirkland
post_url,username,comment_id,comment_text
chefchinoiz,18246818110142024,https://www.instagram.com/p/Cig0EjoJpgY/,Quisiera ser cebollita para recaer en tu pecho padre santo!! ☺️😌
patriciopuerto,17972519779776944,https://www.instagram.com/p/Cig0EjoJpgY/,@chefchinoiz y catusp para embarrarme en su pecho
josmara88,18013263190417858,https://www.instagram.com/p/Cig0EjoJpgY/,👏
colorescamara,17978859337639830,https://www.instagram.com/p/Cig0EjoJpgY/,@maupeniche @estebancamaraf
maupeniche,17943874529494931,https://www.instagram.com/p/Cig0EjoJpgY/,@colorescamara 🤣🤣🤣
el_enfermeroisaacam,18153213274261547,https://www.instagram.com/p/Cig0EjoJpgY/,Eres una reatita bien peluda mi soco
abnerpadi7,18005282173476820,https://www.instagram.com/p/Cig0EjoJpgY/,Le faltó su respectivo tocino y su pico de gallo ñeñe
josee_estrella_,18235003042131347,https://www.instagram.com/p/Cig0EjoJpgY/,Maaaaaaaaaa falto la coquita
elsocotroco,17963628223915058,https://www.instagram.com/p/Cig0EjoJpgY/,@josee_estrella_ maaaa si con eso pasó el dogo
