https://www.instagram.com/p/CkLobbNvtfA/,hashtags:,#yucatan,#comida,#donsocotroco,#hanalpixan,#finados
username,comment_id,text
ricardopinedaleg,18069938209325233,@natalimarrero saliste bien en el video! Saludos!
hans0781,17929166513461923,Se lavo las manos doña gaby? 🤣🙈
mariana.rejona,17916562400629795,Es la carne que compraste y por la que te regañó doña Gaby? Jajaja saludos mi buen Soco❤️👏
patricio.1970__,17970470146760114,A como me vendes uno grande
manuelfloress213,18016966078421603,"Es pib, oh sándwichon, soco"
norenri34,18058744789344182,"Wayyyy nene mándame un pedazo hasta la CDMX, saludos soco"
69_pato,17951041442205458,@el_buenarmando
ahmedabadllah1988,17958501737307177,Lo ricoo
chacho_camargo,17885765516733121,Invita un pedazo
elsocotroco,17961562181025365,@chacho_camargo dale jajaja
frankwolffx,17953891127180738,Chulada mi socoooo saludossss neneeeeeeeee
javier_may_puga,17885479154735940,Envíta @donsocotroco
elsocotroco,17979293860700013,@javierjesusmay viene Irene
