hashtags:,#donsocotroco,#elsocotroco,#aprobadoporelsoco,#comidadeverdade,#fyp,#fypシ,#video,#parati,#reels,#short,#yucateco
post_url,username,comment_id,comment_text
freddycaamal,17976707135241225,https://www.instagram.com/p/CpEtq_7PydM/,Chavo tienes q comer vien tu abanero comes como sonora delicada … un yucateco no come  Su abanero con miedo 😹😹😹😹🤣🤣🤣
kennyguevara27,18023378455487609,https://www.instagram.com/p/CpEtq_7PydM/,@enriquecamelo  maaaaaa chamaco un yucateco bien yucateco a naaaaa
benja_lara,18268991962137315,https://www.instagram.com/p/CpEtq_7PydM/,@kar.escanova
lauriemendez,18061906633374395,https://www.instagram.com/p/CpEtq_7PydM/,Al rato 💨
yimenik,18096145330310870,https://www.instagram.com/p/CpEtq_7PydM/,"Maaa esas cenas son peeeeligrosas nené, dao nn ! 💣🍑💨"
pbivonne18,17956237778402497,https://www.instagram.com/p/CpEtq_7PydM/,😂 4 barras !!! Se ve muy bueno antojence te faltó 😂😂😂😂
federico_diaz_aguilar,18079171285337840,https://www.instagram.com/p/CpEtq_7PydM/,Buena cagada al rato niño
rodriguezleslye,18031124173459247,https://www.instagram.com/p/CpEtq_7PydM/,Que ricoooo se me antoja solo que en Culiacán no hay francés 😭 extraño Mérida
federico_diaz_aguilar,17961270377361515,https://www.instagram.com/p/CpEtq_7PydM/,"@rodriguezleslye allá hay balazos, rayada"
rodriguezleslye,18258319675126668,https://www.instagram.com/p/CpEtq_7PydM/,@federico_diaz_aguilar nada niñooo puras mentiras neé jajajja 😂 saludos
ritangel_22,17956352999419986,https://www.instagram.com/p/CpEtq_7PydM/,"No antojes, ninio. Se ve bien bueno ese potaje😍"
_feermartin_,18276708679111660,https://www.instagram.com/p/CpEtq_7PydM/,Recetaaaaa tio
