hashtags:,#albañileria,#albañil
post_url,username,comment_id,comment_text
letyalborn,18007712230713408,https://www.instagram.com/p/CrzNFaYgEia/,Jamón y queso
la_mala_avila,17863483448927518,https://www.instagram.com/p/CrzNFaYgEia/,"Poncho, era en vaso de veladora o directo de la wuama, y falto los blocks JAJAJA 🙌"
gaspar_chuc_c,17990627665840020,https://www.instagram.com/p/CrzNFaYgEia/,@donsocotroco responde mi mensaje!!! Te combiene ñeñe jajajaja
jhosefffk,18004839847669472,https://www.instagram.com/p/CrzNFaYgEia/,Le fato media crema y queso de bola
ferminlacalaca,18021797266527043,https://www.instagram.com/p/CrzNFaYgEia/,Wey eres mi yucateco favorito cabron como me recago de risa 😂 🙏🔥
yoamoalamericaofficial,17928698129680445,https://www.instagram.com/p/CrzNFaYgEia/,@valek70 🙌❤️
lauriemendez,17933052902669577,https://www.instagram.com/p/CrzNFaYgEia/,Muy bien Soco. Ellos se sienten apreciados en el trabajo así. 👏👏👏
eduardogarciaofc,17996247211880468,https://www.instagram.com/p/CrzNFaYgEia/,Ya lo antojaste neneee 😂😂
brissellalejo,17933781875568547,https://www.instagram.com/p/CrzNFaYgEia/,Si hubieras dado aparte la chicharra hubiera estado mejor Jajaj
medicenmars,18185575879268698,https://www.instagram.com/p/CrzNFaYgEia/,@brissellalejo mínimo el jamón y queso y unas sillas para que se sienten jajajaja
