https://www.instagram.com/p/CtkQwQUsggq/,hashtags:,#calor,#caloron
username,comment_id,text
glorianortizc,18030211435606783,Yo a manguerazos jajajajajajajaja xD
h_emilio_z,17911354859804976,Oso maduro captado en cámara
canacana78,17928759719729988,"Que chiquita se te ve Alfonso, pero no importa eres el Soco y así me encantas.."
ma.lasca,17973854159521805,Vrga
veromar081,18092633272348698,Déjalo socotroco es feliz refrescándose sus carnitas🤗
_eeriko,18019429474607271,Le pusiste Cloro Alfonso? Jejejejeje saludos al Soco
camil_in,17988125342126191,😂
jeffersonmntj,18379710181039428,El soco es mi dios
johan_canche_,17995985359965527,Con de yucatan
jesusaguirremx,17999024623770798,😍😍😍
