hashtags:,#esposos,#bromas,#humor,#risas,#broma,#nutella,#matrimonio
post_url,username,comment_id,comment_text
clau_aguila7,18297136345208330,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂
ar.acely4702,18086078641559578,https://www.instagram.com/p/DCZ36djpk0t/,Con la pena hoy si fue actuado
lanena.may,18318572068164501,https://www.instagram.com/p/DCZ36djpk0t/,Jajajaj morí morí en serioo  soco más fooooo!!
laydaestherortega,17880449814127716,https://www.instagram.com/p/DCZ36djpk0t/,Ahora si se lo creyo el Soco jajaja 😂😂😂😂
magsexy72,18087280894526771,https://www.instagram.com/p/DCZ36djpk0t/,Me wixo de risa jajajjajajjajaja
alejandra_aguilarbautista,18254608150279528,https://www.instagram.com/p/DCZ36djpk0t/,Jajajja
marialy_quintero,17966292458819959,https://www.instagram.com/p/DCZ36djpk0t/,🤣
rociosulub,17949033536876940,https://www.instagram.com/p/DCZ36djpk0t/,Jajaja me dio tanta risa....
itzemoreno,17997551690546369,https://www.instagram.com/p/DCZ36djpk0t/,Jajajaja
feblescalderon,17885175984160209,https://www.instagram.com/p/DCZ36djpk0t/,"Más falso que yo queriendo ir a misa

 el domingo"
henry.gp.hg,17893699836038600,https://www.instagram.com/p/DCZ36djpk0t/,Jajajajajajajajaja jajajaja buenísimo !!! 😂
gelmy_jimenez_23,18012545312462049,https://www.instagram.com/p/DCZ36djpk0t/,Me encantó !! Me sacaron la risa saludos 🤣 🤣🤣🤣 bendiciones
gracechimbaa89,17865971898260403,https://www.instagram.com/p/DCZ36djpk0t/,"Jajajaajjaajajajajajajjaajajaja
Jajajajajaajajajajajajajajajaja
Buenísima broma Merci"
a_z_a_e_l_v_e_g_a,18044846362937911,https://www.instagram.com/p/DCZ36djpk0t/,Fóooo! 🤣🤣🤣🤣
esmeraldiiitaagonzalez,18039903083023932,https://www.instagram.com/p/DCZ36djpk0t/,Jajajajajajajaja alv no mames no paro de reír....se lo aplicaré a mi marido jajajajaja
izraellrobles,18255325957258938,https://www.instagram.com/p/DCZ36djpk0t/,La pura falsedad. Entre pareja no te volteas a otro lado para dar el papel. De hecho le abres la puerta completa 🤣🤣🤣🤣🤣🤣. Mala actuación
afrapech,18025508255575372,https://www.instagram.com/p/DCZ36djpk0t/,🤣🤣🤣🤣
carlos_novacek,18063328420784627,https://www.instagram.com/p/DCZ36djpk0t/,Actuadisimo
luzmar3413,18155835601330739,https://www.instagram.com/p/DCZ36djpk0t/,🤣🤣🤣🤣
lizmtzleo,17928091211972856,https://www.instagram.com/p/DCZ36djpk0t/,🤣🤣🤣🤣🤣🤣
pattyhoil,18042314480326642,https://www.instagram.com/p/DCZ36djpk0t/,🤣😂🤣😂 jajaja 😂 no pude evitar carcajearme 🤣😂
margurica_,17884411548158473,https://www.instagram.com/p/DCZ36djpk0t/,Jajajaajajaja
solceballos25,18054127864939105,https://www.instagram.com/p/DCZ36djpk0t/,🤣🤣🤣🤣🤣🤣🤣
laura_lopezgarcia,18044361370899523,https://www.instagram.com/p/DCZ36djpk0t/,Jajajaja alumna superó al maestro !!! Jajaja
pucangelpuc,18065767078664800,https://www.instagram.com/p/DCZ36djpk0t/,su queso d Bola d los 2 puras mamadas d la yuca fresas
joseguadalupeucmay,17872573788227786,https://www.instagram.com/p/DCZ36djpk0t/,Hasta el hambre se le fue al Soco!!!🤣
bracamonte.jazmin,18069736306649506,https://www.instagram.com/p/DCZ36djpk0t/,Jajajajjajajajaj
flaqueshon,17854126785325073,https://www.instagram.com/p/DCZ36djpk0t/,Mori de risa!!
diana_gruintal,18030399101153294,https://www.instagram.com/p/DCZ36djpk0t/,🤣
artedeunasqueenycristina,18041116694332507,https://www.instagram.com/p/DCZ36djpk0t/,Jajajja está si estuvo buena jajajajajjsjs
gzapatac,18078433849517711,https://www.instagram.com/p/DCZ36djpk0t/,"Merci, Merci, Merci 🙌🙌"
mariateresanunezgomez,17903115743981508,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂
brauliacanche,17925488141982643,https://www.instagram.com/p/DCZ36djpk0t/,Jajajaja me super rei jajaja
genny.cetina,18306528217205934,https://www.instagram.com/p/DCZ36djpk0t/,Que lindos
alidnac_40,17974154438653246,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂😂
aridaelmaga,18061023247829711,https://www.instagram.com/p/DCZ36djpk0t/,Jajajajaja el “FO!” 😂😂😂
chivisamores,18047721989016382,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂😂😂😂😂😂😂😂😂
iamdiane.22,17855191869264677,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂😂😂
patriciopuerto,17860879293277227,https://www.instagram.com/p/DCZ36djpk0t/,Jajajajajaja fooo!
mildredciau,18466397572040770,https://www.instagram.com/p/DCZ36djpk0t/,JAJAJAJJAJAJAJJAJAJAJAJAJAJAJAJAAAMOOO
logan_larque,18031157987521739,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂😂 se ve actuado...
maripili1238,17902870430980824,https://www.instagram.com/p/DCZ36djpk0t/,"Estuvo genial, no pare de reír, jaaa.,jaa...."
tezagom,18023524415283347,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂
tezagom,18059781619677890,https://www.instagram.com/p/DCZ36djpk0t/,Jajajaja
mayrin_tabasco,18363714880143977,https://www.instagram.com/p/DCZ36djpk0t/,JAJAJAJAJJAQJAJAJAJA
majohdz24,17963883995696670,https://www.instagram.com/p/DCZ36djpk0t/,JAJAJAJAJAAJAJAJAJAJAJAJAJAJAJAJAJ LOS AMOOOO ❤️❤️
josuesosac,18097590382464929,https://www.instagram.com/p/DCZ36djpk0t/,Diez para merci jajaja 🤣
peke_herrera,18026753420411812,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂😂😂 Aaaajajajajajajajaaja como me he reidoooooo jajajajaja
lm_yadi,18162172543319938,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂😂
cano_coach777,18039397313231052,https://www.instagram.com/p/DCZ36djpk0t/,Aprobado por el Soco aña jaja
montsesosa1,17965653074811473,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂😂😂😂
cruzrisy,18023348321530601,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂😂😂😂😂😂
marthareyesa23,17956850555837510,https://www.instagram.com/p/DCZ36djpk0t/,😂😂😂😂
