https://www.instagram.com/p/DK2jRXUs4rZ/,hashtags:,#travel,#europa,#europe,#eurotrip,#couple,#couplegoals,#couples,#travelcouple,#mercibri,#elsocotroco
username,comment_id,text
claudiaydavidthefestivecouple,18073451743766091,Son bellos e invencibles!!! Los queremos mucho❤️
mercibri,18034059722655850,@thefestivecouple los queremos demasiado amigos 💖🫶🏼🫶🏼
_flxgrc,18043209659269439,"Ayyyyyy que padre, disfruten muchísimo🫶🏻 y yo ahora mismo aquí en tu bello Mérida✌🏻🎉"
pacoblingbling,18082896940795765,❤️❤️❤️
elcocoyol,18118449706478972,😍😍😍😍😍
jessicaat311,18253729321303577,😢❤️
yafetox_,18302722357171003,🔥🔥
alansd75,18070619801073587,@andreea.saaraabia ❤️❤️❤️❤️pronto bebé
sha_rosado,17958608651958169,😍😍
pao_lgjf,17863439337411782,@jfgom 🤗🫶
karsolisancona,18126240082445845,@rodrigocaminosafar
