hashtags:,#recetasfáciles,#recetasfáciles
post_url,username,comment_id,comment_text
mechirok2011,18030814736732832,https://www.instagram.com/p/DQ4vi1tEf2x/,Excelente receta 😋👏👏 se ve sabrosa
henry_gonzalez444,18069822713522357,https://www.instagram.com/p/DQ4vi1tEf2x/,🙌
javier44897,18162957373387795,https://www.instagram.com/p/DQ4vi1tEf2x/,De lo más sabroso y bonito de la comida yucateca
cochinet,18293349370259900,https://www.instagram.com/p/DQ4vi1tEf2x/,😍😍
turigomez,17943214869105589,https://www.instagram.com/p/DQ4vi1tEf2x/,Saludos desde dallas Texas
rosspzcam,18093464368884510,https://www.instagram.com/p/DQ4vi1tEf2x/,Faltó el platanito fritoooo Socooo..
ramirezguada,18003443477672613,https://www.instagram.com/p/DQ4vi1tEf2x/,😍😍😍😍
angela.arciniega,18086073359011235,https://www.instagram.com/p/DQ4vi1tEf2x/,😂😂😂😂
lmzd.11,18073414967248872,https://www.instagram.com/p/DQ4vi1tEf2x/,Se le quitó el acento con el rezo que se echó al principio xd
atl.raptv,18390251596131456,https://www.instagram.com/p/DQ4vi1tEf2x/,Send me this post
