https://www.instagram.com/p/DQdIjCqEW0v/,hashtags:,#recetasfáciles,#aprobadoporelsoco
username,comment_id,text
belubeni,18022224935595248,No lo conocía😮❤️ pero se me antojo muchísimo! 🙌 Ahora gracias a Merci y Soco quiero ir a Mérida 🙌🔥
patriciarodriguez8158,18096653914813761,Súper rico 😋 la verdad
aliciadawnojeda_,17971354355953991,😍😍😍😍😍😍
rosalialandell,18129767008488181,Me encantó! 😍No lo conocía pero si se antoja probar..trataré de hacerlo 🙌 lo del horno fue lo máximo..❤️saludos desde California .
karliux_glv,17963860181995313,"Gracias por compartir la receta, hace muchos años hize mi servicio social en cacalchen y ahi conoci el pi. Ya tiene muuuchos años que no lo volo y juro que lo voy a hacer es una cosa deliciosa"
jonathanzapata59,17863192461435827,"Saludos 🔥 ,desde Felipe Carrillo Puerto"
marielossd,18098733337679601,"Esto es una joya, lo voy a hacer"
delacruz_damaris,18059122469230766,Que ricoooooooooo😍😍
carod719,18066582473098220,"Gracias por compartir tu receta, se ve delicioso"
manuel_jesus_magana_caballero,18061014632434883,Delicioso solo no lo hagan de jamos y queso nii de otroas ingradientes  los verdaderos pibes son de pollo y puerco y sale delicioso. No jamon no camarones solo pi
anaricods,18075930187942226,Dime algo. Este platillo se. E de en los restaurantes de Mérida ?
rmelis.013,18088092742815535,Me encanta comer solo así el Kol 😍
