hashtags:,#aprobadoporelsoco,#comediaviral
post_url,username,comment_id,comment_text
lobos013,18096228658932853,https://www.instagram.com/p/DRvIhuckdeK/,Como me divierto con estas lindas personas 😂😂😍
iambeltrangeorge,18088546061486816,https://www.instagram.com/p/DRvIhuckdeK/,"Buena receta, pero me gustaría escribirlo con acento Yucateco 😢"
ale_solis1,18128832850500838,https://www.instagram.com/p/DRvIhuckdeK/,Se me antojó 😢
faissalelhouss,18083529998039350,https://www.instagram.com/p/DRvIhuckdeK/,👏👏
patriciavalencia25,17878077765436394,https://www.instagram.com/p/DRvIhuckdeK/,😮😮😮😮
bozaazani,17872711923472844,https://www.instagram.com/p/DRvIhuckdeK/,😂😂😂😂😂 es feliz 😄 👏👏👏👏👏
chrisrdz0,18158245852404355,https://www.instagram.com/p/DRvIhuckdeK/,Quiero!!!!!!
serranozarko,18388651765146750,https://www.instagram.com/p/DRvIhuckdeK/,Grande. Pero ponte delantal que salta mucho
nattgamer16,18053548658406580,https://www.instagram.com/p/DRvIhuckdeK/,Yo cuando vi una barra completa 😮
isaac2candia,17850525909586383,https://www.instagram.com/p/DRvIhuckdeK/,Bombaaa🔥🔥
love.love_nails,18082961534170280,https://www.instagram.com/p/DRvIhuckdeK/,"Se me antojaron , pero le pondría paprika como extra !!! Que rico se ve"
