hashtags:,#aprobadoporelsoco,#navidad
post_url,username,comment_id,comment_text
mago_monroy,17956810259904558,https://www.instagram.com/p/DStkoCsCIMG/,😂😂😂😍
beatriz_flowers,18098674516844444,https://www.instagram.com/p/DStkoCsCIMG/,Es delicioso!! Salud!
el_pantera_50,18063733754242352,https://www.instagram.com/p/DStkoCsCIMG/,🙌❤️
cbma2808,17891884413403763,https://www.instagram.com/p/DStkoCsCIMG/,Ese vino es delicioso ...
_samanthavm,18091056580811303,https://www.instagram.com/p/DStkoCsCIMG/,Socoooo tu gorro es INCREÍBLEEEEE COMO TUUUUU!!!! 🙌🙌🙌
jensal7,17943392084962774,https://www.instagram.com/p/DStkoCsCIMG/,"Ohh el vino caliente me encanta, mas cuando vas para invierno..😍"
rocio_canela_,18068625302399386,https://www.instagram.com/p/DStkoCsCIMG/,👏👏👏
70aniux69,18090420883799597,https://www.instagram.com/p/DStkoCsCIMG/,"Cuando se tiene la oportunidad de viajar , hay que disfrutar y apreciar los lugares!!!"
ceballos6011e,18332400919213219,https://www.instagram.com/p/DStkoCsCIMG/,❤️
yjung_v,18111762499617028,https://www.instagram.com/p/DStkoCsCIMG/,👏👏🔥
lilianarg,18055334909657375,https://www.instagram.com/p/DStkoCsCIMG/,Sabe como pan de muerto 😍❤️❤️
wilbertho_del_pine,18085333166472089,https://www.instagram.com/p/DStkoCsCIMG/,Jajajaja 😂
dulcedi,18092905291939163,https://www.instagram.com/p/DStkoCsCIMG/,😍😍😍😍🔥
ninguno.dt,18177905239368063,https://www.instagram.com/p/DStkoCsCIMG/,A ver xq no dicen que se pongan guantes 😂 las que preparan la comida jajajajaj
gali_27_10,18090076381985300,https://www.instagram.com/p/DStkoCsCIMG/,@ninguno.dt 😂😂😂😂😂
hdz.mery,18060501239301418,https://www.instagram.com/p/DStkoCsCIMG/,Jajajaja como spaguetti verde
karla82medina,18114909871579061,https://www.instagram.com/p/DStkoCsCIMG/,😂así se llama está má jajaja
vanecamaraaa,18383789548178886,https://www.instagram.com/p/DStkoCsCIMG/,Buena promoción del kash kash kushven ✨ 😂👏
aespejolc,18546168583057477,https://www.instagram.com/p/DStkoCsCIMG/,@vanecamaraaa es pasta con queso y cebolla rostizada 😂😂
samara_linan,17991281525905381,https://www.instagram.com/p/DStkoCsCIMG/,"a mi me gusta mucho, en Luxemburgo le llaman Glüwinne y sirve machin para quitar el frio."
ingriespinel,18050321297691281,https://www.instagram.com/p/DStkoCsCIMG/,El vino caliente es deliiiii
annaloret,18147640012444313,https://www.instagram.com/p/DStkoCsCIMG/,Cómo la papá asada en mty
yekatoledo,17965363475992745,https://www.instagram.com/p/DStkoCsCIMG/,Catador ❤️
edithan11,17885032125309375,https://www.instagram.com/p/DStkoCsCIMG/,Por fin veo a Soco disfrutar 😂😂😂
gali_27_10,18090273629294607,https://www.instagram.com/p/DStkoCsCIMG/,😇✨️😇✨️🫰🏽🍀🍀🍀🥰
skyline74193,17856718497586783,https://www.instagram.com/p/DStkoCsCIMG/,"El vino caliente se siente raro las primeras veces porque estamos acostumbrados a bebidas frias, pero yo ya después de vivir unos años en Polonia, hace unos dias probé de nuevo el vino caliente y me gustó 😁"
rose_hedwig21,17930587734160534,https://www.instagram.com/p/DStkoCsCIMG/,@sara_medina_gomez
jlopez1v,18114794260611832,https://www.instagram.com/p/DStkoCsCIMG/,Aventuras!!!!!!😂😂😂😂😂😮😮😮😮😮
mikelgallaghermty,18072311654602998,https://www.instagram.com/p/DStkoCsCIMG/,Vayan al Zum Schwarzen Kameel o al Café Sacher…
jessie.jackiee,18054600743351717,https://www.instagram.com/p/DStkoCsCIMG/,PURA SALCHICHA VAS A COMER😂
artesanias_con_amor_,18075150161595480,https://www.instagram.com/p/DStkoCsCIMG/,Debiste probar el vino al menos una vez
gatubelaml,18074562779589511,https://www.instagram.com/p/DStkoCsCIMG/,Spetzli
iram.jimeneze,18117180553574151,https://www.instagram.com/p/DStkoCsCIMG/,Como hago el espagueti verde jaja como sufre
oscar_couoh_hdz,18066792995172267,https://www.instagram.com/p/DStkoCsCIMG/,Tu di bomba 😂
salomea_sc,18144222088458452,https://www.instagram.com/p/DStkoCsCIMG/,"Con esa barba y la carita de tu mujer, seguro que pasan desapercibidos por esos terruños. 🙂👍🏼"
alejandro.lopezduran.104,18115993885604008,https://www.instagram.com/p/DStkoCsCIMG/,¿Dónde están los mamá dores que exigen guantes?
cristiancamara71,18086443550029142,https://www.instagram.com/p/DStkoCsCIMG/,Tu mdr 🐷 paga chayote
ilianita_de_garcia,17981432903791360,https://www.instagram.com/p/DStkoCsCIMG/,Qué barbaridad !! Antojas de a madre che panecito enrollao se ve deli deli como un churro
bichiris7,18048895496650902,https://www.instagram.com/p/DStkoCsCIMG/,Si trabaja ese p@nz0n o es mant3nid0
