https://www.instagram.com/p/B_QMvfpARvY/,hashtags:,#asómatealapenínsula,#mexico_maravilloso,#yucatan,#yucatanpeninsula,#yucatanturismo,#mexicosorprendente,#mexicodesconocido,#loves_mexico,#loves_madeinmexico,#vive_mexico,#vive_america,#mexico,#travelmexico,#descubrimientos,#mexico_amazing,#mexico_tour,#igersyucatan,#ig_mexico,#travelday,#ilikemexico,#picoftheday,#yucatanmexico,#mexicocapital,#tulum
username,comment_id,text
gerryoc,18064410289202917,@gq o @menshealthmx por favor firmenlo
josetwitts,17870298844695964,El verdadero paraiso
gogonzaexpeditions,17864071348794376,Si se juntan los mares y los ríos por qué no juntar tus pelos con los míos
josetwitts,17863067032823406,@gogonzamx poeta
gogonzaexpeditions,18108596764120709,@josetwitts ahora por la contingencia doy clases en línea lunes miércoles y viernes 6 PM excelentes descuentos 🤙jajajaja
eduardo_cervera,17864447059759859,Hermoso ❤️
josetwitts,18084832444173399,ojalá fuera sargazo para estar en tu pedazo
juliolealortiz,18102548590090853,@josetwitts 😳😳😳
pacoacostaa,18032085556259248,Mamado
juliolealortiz,18139985188013714,@pacoacostaa no más que tú
