hashtags:,#merida,#yucatan,#comida,#fyp
post_url,username,comment_id,comment_text
daliadelcarmenjimenezlopez,18116010883553024,https://www.instagram.com/p/C-1GndlpGz8/,B días vamos con la banda hay que hacer reservación en domingo 26 de octubre?
salmacis_undies,18020884607208819,https://www.instagram.com/p/C-1GndlpGz8/,Siempre con @m__edusita  y @x_vier13 ❤️
dan04pp,18093323878457427,https://www.instagram.com/p/C-1GndlpGz8/,@mireydi_koyoc ❤️
berenova,17857890198184027,https://www.instagram.com/p/C-1GndlpGz8/,@joselinechi.23 vamos a celebrar que ya eres psicóloga❤️
montserrathernandezcaamal,18028335608515546,https://www.instagram.com/p/C-1GndlpGz8/,@jorge_jimenz1 ❤️
yedidsantos18,18010742447551429,https://www.instagram.com/p/C-1GndlpGz8/,@danaldaz ❤️
miviejomolinosantalucia,18312360163082599,https://www.instagram.com/p/C-1GndlpGz8/,"¡Gracias por la visita!👏 y las excelentes recomendaciones🙌 Esperamos verte de regreso en casa MVM Santa Lucía, muy pronto🧡"
juliolealortiz,18017515427583225,https://www.instagram.com/p/C-1GndlpGz8/,@miviejomolinosantalucia ya quiero volver 😍😍😍
ulisessolorzano14,17868156111176527,https://www.instagram.com/p/C-1GndlpGz8/,Obvio iría con mi fundita @juliolealortiz
carmenpineda415,18460364086020102,https://www.instagram.com/p/C-1GndlpGz8/,@Ximena Miranda
carmenpineda415,17925054830834971,https://www.instagram.com/p/C-1GndlpGz8/,@mirandafernandaa_
carmenpineda415,18100742788428629,https://www.instagram.com/p/C-1GndlpGz8/,@Ximena de la luz
abril.april,18078718138509214,https://www.instagram.com/p/C-1GndlpGz8/,@maolopez16 🔥
letygt2,18361530781104361,https://www.instagram.com/p/C-1GndlpGz8/,Waay nene vas a quedar gordo. Se ve delicioso todo👏😋
dlmg.25,18071362216500224,https://www.instagram.com/p/C-1GndlpGz8/,@juliolealortiz llevame🫣🫣
sugemendoza,18056284399673518,https://www.instagram.com/p/C-1GndlpGz8/,@alvarocarcano
juliolealortiz,18035342995906379,https://www.instagram.com/p/C-1GndlpGz8/,@sugemendoza vamos!!
ranafansfood,17978339270735489,https://www.instagram.com/p/C-1GndlpGz8/,Que antojación! 🤟🏻
juliolealortiz,18332489890133282,https://www.instagram.com/p/C-1GndlpGz8/,@ranafansfood Sii 😎
