https://www.instagram.com/p/C0xNPT6Lwbu/,hashtags:,#meridavucatan,#yucatan,#reelinstagram,#videoviral,#trending,#fyp,#humor,#selfie,#merida
username,comment_id,text
saaray_escamilla_13,17987885333621111,@fernanda.leon.5243 @paco_goonzaalez miren que joyita me encontré 🤣🤣
kemsinai99,18091078657396856,"El segundo, lo agarraste en su mero mole(comiendo)  hasta tu beso te dio né❤"
juliolealortiz,18030486856803991,@kemsinai99 me chiveé!
dextromaniaco,17891407949969147,el primero era mi tío w
maryybluue,18031387483831809,Ahahah 😂😂😂
kinolv,18322880323117785,@rex_papi
jorgsangerman,17980854899484919,La banda bien relax en Mérida jajaja
nicoldelcarm2020,17913313109861189,Hermosa que es nuestra gente ❤️❤️❤️❤️❤️❤️❤️❤️❤️ Yucatán #1
aireadna,18016309175295176,🤣🤣🤣🤣🤣
imperio.roller,18071703196419617,Jajajajajja eres un estupido@juliti tqm
erikaapool,17930659238804184,JAJAJAJA
__r_o_ss,17909771387875857,"El segundo, cuando te dió tu beso 😂😂😂"
juliolealortiz,18017205932046556,@lopezrosasross joya 😂
vladpatronxd,18032090791766233,"Buenas tardes, fui yo"
cambranesalexis,18023672479909093,Iré al centro solo para ver si te veo JAJAJAJ
juliolealortiz,17984594348405344,@cambranesalexis 🤝🏾 jajaja
majo_aguilar44,17990763218580566,"Nueva seguidora desde Chihuahua, ame❤️"
aradiaecheverria,18027684016846727,😍😂😂😂
yacirismateoramirez,18037578559725426,😍😍😍😍😍😍😍 jaja aquí tu nueva seguidora jajaa
juliolealortiz,18013246769284254,@yacirismateoramirez 🙌
blancaarana14,18051078361551999,😂😂😂
chikiluamapola,18018505552791207,🤳🏽
amoyashante,18293357032145799,So funny 😂😂😂
juliolealortiz,17855262201076477,@amoyashante 😂😂
_robertmatos,18246086839211195,"El de la primera victima, serio , flojito y cooperando 🤣 están geniales tus videos bro🔝🔝"
juliolealortiz,18009266642286588,@_robertmatos jajaja gracias mi amigo!
