https://www.instagram.com/p/C3jA7-GrNEH/,hashtags:,#yucatan,#videoviral,#trending#fyp,#humor,#relaciones
username,comment_id,text
ra.ymundo1278,18072427405479491,La mirada 🍆
gordita.21.k,18021185591014473,Sus ojos 😍
lulucthulhu50,17888962850932933,"Las manos, los dientes,  altura y si están piernudos es un plus👍"
almendariz_j,17967445745566970,El pirrin
dianavzq,18048080086544494,😂😂😂
doniachelashow,18226949155251886,Su pension!! 😍😂
juliolealortiz,18277337167161635,@doniachelashow jajajajaja 😂
pot_dye,18005863349347392,"El cabello, fuera de mame, yo una vez en Huatulco vi a un chico de espaldas, tenía un pelo precioso rizado, la vdd me lo quedé viendo hasta que volteó 😳"
juliolealortiz,17849597751151257,@corina_adelaida_maria 😱
marianomedinaquijano,17949897218761050,Eres un chingon vato👏
juliolealortiz,18022785260004761,@marianomedinaquijano gracias hermano! 🙏🏽
adrieldness,18127429555333953,😂😂😂😂
juliolealortiz,18062562922504723,@adrieldness 😂🙌
adrieldness,18139005643315868,@juliolealortiz omg no crei que contestes buen video me reí mucho 😂😂😂💯💯💯💯💯💯💯💯
pame.acp,17955296885735563,😂😂😂😂😂😂
juliolealortiz,18023531827994070,@pame.acp 😂😂
jswood97,17970337766549441,Te amo
juliolealortiz,18099134905381593,@jswood97 a la del video? 👀😂
juliolealortiz,18036541636650524,"Les leo en los comentarios, ¿es cierto? 👀"
