https://www.instagram.com/p/C3vufMfJaXF/,hashtags:,#fyp,#merida,#yucatan,#amor
username,comment_id,text
jazcauich5,17892472352917375,@dayanabarrancos 😱
sudquetzalli,17936049011807312,Saludos julio
iamjanettrosas,18179671345292203,🥹🥹🥹😭😭
magal_ialma,18082887082441954,😍
soylfercho,17915981354867816,Me gustó mucho esta dinámica
rcarballo.m,18027955294909202,😢❤️
solymar_williams,18248858428243542,Que hermoso video ❤️🙌
juliolealortiz,18024379897956838,@solymar_williams gracias 🙏🏽
amoyashante,17999821007429000,This is so cute!
juliolealortiz,17996281946315053,@amoyashante 😘😘
juliolealortiz,18283969912088663,¿Ustedes a quién le marcarían y qué le dirían? ❤️
