https://www.instagram.com/p/C4b2XTOLeHg/,hashtags:,#merida,#yucatan,#food,#pizza,#fyp
username,comment_id,text
belenciagatta,17997364181413197,@virigattasv  hay q ir
_susycetina_,18036932125830864,Estuvo de lujo lo visitamos y muy rico todo
ericksixto,18063071671519019,Gpi
juliolealortiz,18083445196436418,@ericksixto vamoooos cuando vuelvas!
groundedgetaways,17982543308505467,Love this!!! 😋
borges_michell,18029180680919946,"Cual soccer pelaná!!! fútbol, fútbol ninio!!!!"
juliolealortiz,18017825984494405,@borges_michell me salió lo gringo! Jaja!
borges_michell,18027067441817996,@juliolealortiz 😂
josetwitts,17942539274793051,Al chile si está chido o no?
juliolealortiz,18000838295446003,@josetwitts si 😎🫡
oswaldomatu,17949438815658905,Se ve delicioso todo 🤤
juliolealortiz,18024309428063634,"@oswaldomatu si vas, me llevas!"
oswaldomatu,17991494378401232,@juliolealortiz obviaaa
cooxtasty,18025403999003127,Tendremos que ir a probar!
juliolealortiz,17992795112344459,@cooxtasty nos das tu opinión 😱
odans,18089772286416672,@cooxtasty usas el código JUL35
gerryoc,18070563847485291,Invitameeeee
juliolealortiz,17937115178805831,@gerryoc vamooooooos!
edwingcen,17905349564940156,Se ve increíble!! Necesito dar mi vuelta 🔥🤤🤤🤤
juliolealortiz,18179807671295226,@edwingcen invítame!
mirandaescalante,17881048977022237,Qué antojo la deep dish! Se me hizo agua la bocaaaaaa 🤤 vamos! @andreapuertot
andreapuertot,18037478626660848,"@mirandaescalante ahhhh se me antojó todoooo, vamos!! 🤤🤩"
mikegarcia__,18026869981947519,Maa no sabía que vendían Deep dish se ve rica 👌🏼
juliolealortiz,17972665853543705,@mikegarcia__ Chu la da!
sugemendoza,17848540881142244,Deli @alvarocarcano
alvarocarcano,18337221394129336,@sugemendoza vamos!!!
joesantanab,18022660406022058,Comida riquisima en @chicagospizzamerida 🔥
juliolealortiz,17886812709007605,@joesantanab vamos 🤤🤤
alemed9,18315323407130350,Deli!! @peperiveera  llevame!!
juliolealortiz,17874933843052361,@alemed9 está increíble 🙌🏽
vitodisena,17875635018049386,🤤🤤🤤🤤 ala no maaa me dió un ch de hambre
juliolealortiz,17925828029763518,@vitodisena vamooos 😍
