https://www.instagram.com/p/C4bQOprJRPt/,hashtags:,#merida,#yucatan,#humor,#fyp,#entrevista
username,comment_id,text
practimamma,18011849609375446,"C.T.M. Magali, ojala se ponga agrio tu 🧀"
elcocoyol,18059209789573265,@practimamma jajajaja 😂
emmanuelchuchito2512,17926289477888187,😂😂😂😂😂
susan_olivares88,17963877317725393,😂😂😂
elcocoyol,18032556148753105,@susan_olivares88 jjajaja 😂
alexisalmeidaseguros,18049333765615737,Jjjajjjajaa
elcocoyol,18082232023443440,@alexisalmeidaseguros añaaa 😂
adrian_bricen0,18034587025865104,Buen video amigo 👏
rodba___,18042005989676484,JAJAJJAJA jure q iba a llorar
juliolealortiz,17852762292151258,@rodba___ 😂😂😂😂
manuelaguero.70,18425729536034822,Fuera de mamada le sale bien o mejor que yo jajajaja
zo03ee,18303220318147238,😂😂😂😂 ay no!!!!
csjr19,18025452685950393,Asi o mas..😂😂😂
vitodisena,17976351269520521,De Telchac para el mundo 🌎
juliolealortiz,17973705284690837,@vitodisena 😂😂
estefi3590,17983132439496349,Aver cuando nos visitan en el local del tío tele en el mercado
elcocoyol,18035978974675495,😂😂😂😂😂
