https://www.instagram.com/p/C5UYNZtr70K/,hashtags:,#fyp,#merida,#yucatan,#humor,#español,#ingles
username,comment_id,text
labierhaus,18428155639012911,🙌❤️🔥
juliolealortiz,18264032041226708,@labierhaus cuándo das tu tanda? 😎
labierhaus,17922114599875444,@juliolealortiz de una vez! 😏
labierhaus,18107040748380671,Jajajajajajajajaja
jocemartii,17930335940849725,El nombre de ese bar please !!
juliolealortiz,18049726549585311,@jocemartii @labierhaus 😎
joseangel462,18294820015089803,Trigeshon jajaja
juliolealortiz,18104934946391102,@joseangel462 😂😂
ritacastilloc,18035702992870012,"Ese es nuestro talento , nosotros mexicanos podemos entender casi siempre que dicen en inglés sin haberlo estudiado y a los gringos se les dificulta muchísimo el entender una simple palabra en español."
mezcallisa2.0,18050360296615107,😂😂😂
hannahermanson_,18045516199728333,GUAPOS ! 🔥
melcastillov15,18427280494048115,JAJAJAJAJAJA😂
ericksixto,18024871007012455,😂
amoyashante,17885060271018693,This is hilarious! 😂
juliolealortiz,18048512965570053,@amoyashante 😂😍
zo03ee,18027934048953468,😂😂😂😂😂😂😂 ay!
juliolealortiz,18429211759051332,@zoe.c.canul 😂
