https://www.instagram.com/p/C75dwE6ATmH/,hashtags:,#fyp,#merida,#yucatan,#humor
username,comment_id,text
melissaromoo,17918631242931470,No manches la gente de Yucatán es otro rollo súper buena onda y bien alivianados 👏
luisarmando8651,17971084880732528,Quieres el pescuezo del ganzo.
luisburgos209,18010901141412398,Que se le va parrigva
gloriaaliciaromerocarrillo,18059529160592482,🔥🔥🔥🙌🙌🙌👏👏😮
luisfelipemendezsalazar,18039517390880405,😂😂😂😂😂😂
vitodisena,18029376797312941,📜✍🏻 apuntando
juliolealortiz,18041596783856164,@vitodisena 😂😂
lizama1780,17972541479719342,Coñiooo el mercado 😍
gerryoc,18065554351493863,Anotaste esas frases? 😂😂
juliolealortiz,17889456042043145,@gerryoc en práctica 😂
abnerpadi7,18065793964493086,"Haha que chido tus videos we, transmites felicidad!!! 😂"
juliolealortiz,18062881240507363,@soeabner gracias hermano 🙌🏽😎
vanessapaddi,17890372845030505,@soeabner  puro desm@dre con esos weyes 😂😂
edup0515,18010438487584372,A cualquiera hasta a el JAJAJAJAJAJAJAJA😂
juliolealortiz,17848209423201668,@edup0515 😂😂😂
monnycharlotte,17999219684384754,Andan con todo esos muchachos 😂
juliolealortiz,18003533708561491,@monnycharlotte puro jovenzuelo!
joesantanab,17939516741832880,Esa tercia es una bomba 😂
juliolealortiz,18116173120343392,@joesantanab 😂😂😂😂 cada día supera mis expectativas
mauricio_t.t,18018213155350041,😂
boun_music,18312320434153644,Leyenda este piloto aviador
