https://www.instagram.com/p/C77uUe4AuGQ/,hashtags:,#fyp,#merida,#yucatan,#humor,#mercado
username,comment_id,text
jorge_aldecua,18059103562758542,Me recuerdas ala que dice el pegrroooooo el pergroooooo
liliagutierrezvillegas,17866432842191659,Corrientes las yucas.
nicoli.dayane,18308552932095135,50 años vendiendo ahí!!! Wow
javiveramay,17934589175899321,🤣🤣🤣🤣
carloschuc6,18003721754427495,Jajaja
gloriaaliciaromerocarrillo,17931443579855945,🙌🙌🙌🔥🔥😮😮😮
geto_zzz_,17853409512200971,@_taniaaa.g
jorgemartos22,17888560047046181,Ya se me antojaron unos limones del mercado
juliolealortiz,18440390569030995,@jorgemartos22 recién bajados del árbol!
mauricio_t.t,18037266007906523,😂 da grande para ella
juliolealortiz,17934668966761224,@mauricio_t.t 😂
