https://www.instagram.com/p/C8-OBk2pU0h/,hashtags:,#merida,#yucatan,#fyp,#galletasdondé
username,comment_id,text
ariel.manzanilla.10,18048534853748105,Déjate dé mm's y trae un pizza araña 🕷️🕷️✌🏿😂🤣
bere_19741,18053601964826586,Aqui en dos palos california encontré mis globitos y mis biscochitos
mari.moo.7927,17890940688063833,Yo quiero unos globitos
mauricio_1rd,18004277594367091,Jajaj la netav
mariajopech,18362135254098996,Maaaa que rico 👏👏
juliolealortiz,17869536675116739,@mariajopech Sii 🙏🏽
visit_new_spots,18043598065895720,🔥🔥🔥
salmacis_undies,18018204386129507,Yo prefiero choconieves o avellanieves
gloriaaliciaromerocarrillo,17964308807777423,👏👏👏👏👏
enriquebaas.mx,18107434486401688,"@madelein_al Cafecito, galletas y una sabanita"
christianblancosal,18138056551334548,@linitaurtecho99 @jessalcbur no me guardaron una bolsita ?
linitaurtecho99,17890102496982760,@christianblancosal obvio si flaco
jose_fita75,18039580774935635,Con razón se gastaron  hoy en dunodusa.
lorenita13_94,17984420459692016,Que dias andas por el centro ?? Siempre voy y nunca te veo jaja
juliolealortiz,18039845944897459,@lorenita13_94 de vez en cuando 😂🙏🏽
lorenita13_94,17918135825938379,@juliolealortiz hay a ver que dia te veo 😊
vitodisena,18092553961447630,Wey con globito y bizcochito se arma la sobrevivencia
im.abner,18047352667790605,Yo quiero mi dotación de galletas qué en el super ya no hay 😢
juliolealortiz,18022056482255619,@im.abner en serio? 😱
elsycastro,18024622844270379,"@im.abner en la planta de carretera Umán , allá hay 🙌"
sugemendoza,17992713776502047,Las mejores galletas ❤️
juliolealortiz,18049769047784153,@sugemendoza si 😍
robalarcon_,18009439568295665,"Eh perate ayer no me llevaste, lo espero el sabadooo"
juliolealortiz,18144248968326006,@robalarcon_ te voy a dar tu bizcochito 😍
amoyashante,18039658654779761,🔥🔥🔥🔥
juliolealortiz,18101011351420351,@amoyashante 😘😘
landita06,18315143365145721,Que rolen los globitos 😄
juliolealortiz,17875362525054081,@landita06 se armaa!
landita06,18063245221522255,@juliolealortiz con el cafecito
gurupadel.k,18036639262977710,😍😍😍😍😍 maaaa unas para el equipo
juliolealortiz,18068619223542075,@gurupadel.k se arma!
mikegarcia__,17936280344763270,JAJAJAJA por dónde andas para pasar por mi dotación m?
juliolealortiz,17912513747968402,@mikegarcia__ Cáele al centro 🫶🏼😂
gerryoc,17884141032064947,Lluvia= café + globitos 🔥🔥🔥
juliolealortiz,18094951717431927,@gerryoc uffff 🥵❤️
joesantanab,17923034540920309,Acompáñalas con leche
juliolealortiz,18027693884171420,@joesantanab MI VI DA!
galletas.donde,18272873641227568,😍😍😍😍maaa que rico
juliolealortiz,18111932005380630,@galletas.donde cara de bizcochito voy a tener 😂😍
a_a_n_d_r_e_a_a,18302743822090305,gpi
juliolealortiz,18019027424342812,@a_a_n_d_r_e_a_a aún hay!
josetwitts,18439316059017959,Sin globitos no hay fiesta dicen
juliolealortiz,18036479998836303,@josetwitts cierto 😳😂🙏🏽
