hashtags:,#fyp,#motul,#yucatan,#humor
post_url,username,comment_id,comment_text
carol_lokis,17968637141790240,https://www.instagram.com/p/C9OUcTcpTkH/,"Jajajaaja buenos videos, sigue así"
tecsarai,18008025047330257,https://www.instagram.com/p/C9OUcTcpTkH/,Cuando regresas?😢
901cochinitatacos,17843632911263565,https://www.instagram.com/p/C9OUcTcpTkH/,🙌🏽🙌🏽🙌🏽🙌🏽
solosoy_han,18019705913460999,https://www.instagram.com/p/C9OUcTcpTkH/,Hahahaha yo me estoy volviendo adicto a tus videos 😝
monsserratcab,18090945574453091,https://www.instagram.com/p/C9OUcTcpTkH/,😂😂😂
0qqdra,17862373236178117,https://www.instagram.com/p/C9OUcTcpTkH/,Primerooo👻
juliolealortiz,18032305070495765,https://www.instagram.com/p/C9OUcTcpTkH/,@xemfrxiks 😎
juliolealortiz,18059437399623357,https://www.instagram.com/p/C9OUcTcpTkH/,Videazo de @joesantanab 😎
0qqdra,18009151751609403,https://www.instagram.com/p/C9OUcTcpTkH/,😂
juliolealortiz,18000691205427113,https://www.instagram.com/p/C9OUcTcpTkH/,@xemfrxiks 😂😂
