https://www.instagram.com/p/C9lKxKFpXIR/,hashtags:,#Tixkokob,#fyp,#parati,#merida,#comida,#yucatan
username,comment_id,text
enrike0620,18063380360036124,Cochinita con queso ?
jaimelorenzoflota,18051509911913517,Todo se ve delicioso y Tixko es muy popular en su tradición Culinaria
julio.gamboa.5205,18051279004865939,wow  como  quisiera  ir pero  estoy  muy lejos
lupishau,17949995570820839,@soemy_07  hay que ir
kraussnaty,17982054215571138,Hay que probar 👌 @estradatai
ritaaguilar699.rap,18046047265870220,😮😮
gabriela_lizarraga,18034049465294292,@jaimecarrillo66
saul_acosta_yair_,17955283493684464,@daniela_huchin
ortizabrilac,18009741005315865,Con @yoshierosanett
mary.cam.3762,18040648855801143,Cuando biene a tizimin
salome_marrufo04,17897692785019772,@carlosalbertoargaes vamos
oyuki_loeza,17892021030051088,@oulises873
victor_avb,18047947696835804,@guelmyesquivel vamos
escarabajodelsur,17872005861112907,@yobainpitecus aquí te voy a llevar por tu cumple 🎁
yobainpitecus,18043024306912177,@escarabajodelsur habrá que ver
nicole.yamacab,18037833883970463,@erik.jrl 🤭
rosarioleon100,17894808006020037,@dulcejaciel
marin4_hrdz,17953874612801176,La joya eres tu bb!🙌
adriana_peanut,18090504511415904,@drakevid queremos la comidita de regalo 🎁 please 💜🩵
joesantanab,17891057748052715,La torta de castacan es una joya
