https://www.instagram.com/p/CDepEeQAMmc/,hashtags:,#yucatan,#canon,#bordados,#zavy
username,comment_id,text
zavy.mx,17906534989495744,Muchas gracias por confiar en nuestro trabajo y compartirlo en tus redes @juliolealortiz . Nos encantan las fotografías que te has hecho con tu #Zavy y ojalá que pronto volvamos a tener noticias tuyas para seguir vistiendo tus 📸 y que a través de ellas formemos parte de tu historia. 😊 ¡Saludos!
yucatan_travel,17952535786356073,🙌🙌
dani_gomez21,18080266624201695,😍😍😍😍💞
verdeguillen,18114384277090656,Bello
juliolealortiz,17868313018912760,@verdeguillen tú
gustavomoguel,17877233023772886,Papacito!!
juliolealortiz,17891538448602668,@gustavomoguel te dicen amigo ;)
voaleti,17900775250525337,Yo necesito de una correa igual la tuya
edwingcen,18005080111289490,Que finura de correa 😍😍😍
josetwitts,17872638091848232,Y gracias también a diosito por crear tu carita
juliolealortiz,17890511716598484,@josetwitts ufff
