https://www.instagram.com/p/C_gaPJBJMLH/,hashtags:,#fyp,#humor,#yucatan,#parati,#hocaba
username,comment_id,text
elia.n1189,18326113306246435,Yo de allá soy
eg_2133,18245940427285723,Presenta algo instructivo siempre muestras de Yucatán la gente mal hablada así como tu que no muestras nada interesante de Yucatán
__itss_marlee._,18047215384784419,Cuando para Kanxoc???? 👏
3kknatt_,18039504956292499,😂😂😂
no.emi_61,18113931046402306,😂😂😂
yucaangel,17876294919149205,"Jajajaja ve a hoctun , super padre tus videos"
lucy_can_,17861337003228291,Súper buenos tus videos 😅
juliolealortiz,18020821898188549,@lucy_can_ 😂🙌
mggyctty,18006875627412780,Ya quiero ir a Mérida ah que me entreviste porfavor jsjsjs
huicamoo,18373982023099687,Jajajaja
comtabyuc,18128360623368127,Jajahahaha
cin_yah,18075423094534288,😂😂 que buenos tus videos
andrezitogamboa,18041144050863731,Cuando a Hoctun?
juliolealortiz,17949528320732061,@andrezitogamboa  a ver cuando!
nitrar_zaid_sixela,18073658335501135,Jajaja me gusta muchos  tus videos
juliolealortiz,18019500398526023,@nitrar_zaid_sixela 🙌
cieloccl,17854045521257833,jajajajaj 😂😂😂
juliolealortiz,18037528769480048,@cieloccl 😂🙌
mercelybaas,17979906155685365,Jajaja debes aprender Maya Tío jach tuskepech
juliolealortiz,18033771932471399,@mercelybaas trabajando en ello 😂🙌
anymediinaa,18042402275053876,😂😂😂
juliolealortiz,18024224243132318,@anyesquivelmedina 😂😂
eduardo.m.can,18060575842638746,Sencillo como le llegas a la gente 😆😂😂😂😂 divertido
juliolealortiz,18045855775786735,@eduardo.m.can jajajaja 😂
marianomedinaquijano,18024224498347158,eres un xhingon gallo
juliolealortiz,18339120826193471,"@marianomedinaquijano graciaaas, abrazote! 🙏🏽"
blancaestela5460,17842880478304203,Buenas vibras 🙌🙌
blancaestela5460,17952971504821690,😂😂😂😂
juliolealortiz,18012454307535372,@blancaestela5460 🙏🏽😂
