https://www.instagram.com/p/CfpEGIgJgP5/,hashtags:,#enjambre,#enjambreescuchas,#indie,#indierock
username,comment_id,text
angelussangyy,17926387433433447,Fabuloso Julio. Me alegra tus logros 💯💯muy bien. 🙌🏼 🙌🏼 🙌🏼 👏👏
luiscarlosdiaz,18246399100098517,Muchas felicidades amiwo! Que sigan los éxitos!!!
hamletflores,17918315942401017,No maaameeees 🔥
juliolealortiz,17935487489252972,@hamletflores amigooo 🙌
itshanai,17964807754740681,Woow!! Muchas felicidades amigo! Que increíble que reconozcan tu talento🙌
juliolealortiz,17941291289157647,@itshanai Muchas gracias Hanai! Estuvo todo increíble!
monigumtz,17969317762646504,El sueñoooo❤️
verdeguillen,17925774128434891,Vaya que genial amigo!! Felicitaciones!! Estas duro!!🔥👏
juliolealortiz,17929396841238928,@verdeguillen gracias amigazo 🙌🔥
saab_cacique,17995109398486537,Nooooooooo !!! Que padreeeeeeeeee 🤩 Me encanta Enjambre !!!! … Muy buenas las fotos 📸 👏🏻
juliolealortiz,17924990546319067,@saab_cacique muchas gracias!
montero2.3,17920178309348382,Eso es todo 👏👏
juliolealortiz,17964595798700919,@ferduartemontero gracias amigo!
chikiluamapola,17941945751134286,👏👏👏👏
ximeuribep,18134465455281719,❤️❤️❤️ que envidia de la buenaaa
galexsant,17920150898343603,👏👏👏👏
_g.ragram,18186944080206057,🙌🙌🙌❤️❤️
lore_aguilaa,18167986354222180,"Dios 😱 no lo puedo creer, yo me desmayo jajaja. 👏👏"
miss_paoa,18133412026276625,Felicidades!!!!!!!!!!
amoyashante,17918271143402674,I love you! 😍😍😍
juliolealortiz,17965578796637805,@amoyashante love you more 😍
