hashtags:,#cinematography,#videography,#yucatan
post_url,username,comment_id,comment_text
amoyashante,17973256748255691,https://www.instagram.com/p/CrodoFzpSpx/,Beautiful 😍😍😍
juliolealortiz,17979579860142406,https://www.instagram.com/p/CrodoFzpSpx/,@amoyashante thank my love ❤️
josetwitts,18007946608720665,https://www.instagram.com/p/CrodoFzpSpx/,attention*
juliolealortiz,17973428069256846,https://www.instagram.com/p/CrodoFzpSpx/,@josetwitts gracias bebo! Lo bajaré y volveré a subir 🥰
joesantanab,17928602102679619,https://www.instagram.com/p/CrodoFzpSpx/,Puro love ❤️
juliolealortiz,18247894918087560,https://www.instagram.com/p/CrodoFzpSpx/,@joesantanab uffff… ❤️🙌🏽
elguiadeexperiencias,17977069226180676,https://www.instagram.com/p/CrodoFzpSpx/,😍😍😍
juliolealortiz,17950751180468962,https://www.instagram.com/p/CrodoFzpSpx/,@atomic_charlie amigo 🙌🏽❤️
sugemendoza,17977339802184780,https://www.instagram.com/p/CrodoFzpSpx/,Qué bonito!! Tqm
juliolealortiz,17987889970843856,https://www.instagram.com/p/CrodoFzpSpx/,@sugemendoza  yo más! ❤️
