https://www.instagram.com/p/DB7YdOupDU4/,hashtags:,#fyp,#merida,#yucatan,#humor,#maya
username,comment_id,text
ax_fiction,18045670520038050,Aaaalaaaaa el Alux jejeje
san_antonio_59,18123742399386714,❤️❤️😍😍😍😍😂😂😂😂
edgar.cante_15,18023208533264898,Armando a Alushe
lio_jiz,17862385011205406,Yucatán el estado más hermoso
cristhiancanul,18009454037650714,😂😂😂👏👏👏👏
juliolealortiz,18048890062963271,@cristhiancanul amigoo 😂🙌🏽
joesantanab,18246224425286211,Te quiero mucho alushe ❤️
juliolealortiz,18029182502158001,@joesantanab ojalá lo pudiéramos etiquetar 😢
amoyashante,18087003115509933,😂😂😂
juliolealortiz,18046286243295833,@amoyashante 😂🙌🏽
