hashtags:,#merida,#yucatan,#publicidad
post_url,username,comment_id,comment_text
gonzalezjose_,18107727871428763,https://www.instagram.com/p/DBZ3krLJWcX/,Amo el superaki de pensiones tiene un vibe de los 2000 jaja
ax_fiction,17918246981901654,https://www.instagram.com/p/DBZ3krLJWcX/,Yendo por mi despensa de botellas ..// y verduras
oswaldomatu,18020417387287416,https://www.instagram.com/p/DBZ3krLJWcX/,🔥🔥🔥🔥🔥 te amo p3rro
juliolealortiz,18041265448923268,https://www.instagram.com/p/DBZ3krLJWcX/,@oswaldomatu y yo a ti!!! ❤️🔥
danielalbertodp,18147417892341487,https://www.instagram.com/p/DBZ3krLJWcX/,Yo quiero asustarme con muchas ofertas 😱😱
polifabricio,18047284870829544,https://www.instagram.com/p/DBZ3krLJWcX/,Yo quiero 😍🔥
juliolealortiz,18025793111190871,https://www.instagram.com/p/DBZ3krLJWcX/,@polifabricio vamos a comprar pañales bb 😍
oscarvlnz,18080568112552894,https://www.instagram.com/p/DBZ3krLJWcX/,Bien puyul te viste padrino 😂
juliolealortiz,17913543111002099,https://www.instagram.com/p/DBZ3krLJWcX/,@oscarvlnz 😂😂😂
oscarvlnz,18356020843184830,https://www.instagram.com/p/DBZ3krLJWcX/,@juliolealortiz 😂😂😂
amoyashante,17980583777772123,https://www.instagram.com/p/DBZ3krLJWcX/,Are you single?
juliolealortiz,18315303388092455,https://www.instagram.com/p/DBZ3krLJWcX/,@amoyashante 💍🖖
amoyashante,18007916930652678,https://www.instagram.com/p/DBZ3krLJWcX/,@juliolealortiz darn😂
gerryoc,17946497807890112,https://www.instagram.com/p/DBZ3krLJWcX/,"@amoyashante its my husband, sorry"
amoyashante,17993448302708202,https://www.instagram.com/p/DBZ3krLJWcX/,@gerryoc I am so jealous 😭😭😭
juliolealortiz,17942183693913397,https://www.instagram.com/p/DBZ3krLJWcX/,@gerryoc 😍😢
vitodisena,17846965632329031,https://www.instagram.com/p/DBZ3krLJWcX/,Maaa el tinieblas 🔥
juliolealortiz,18055673677855375,https://www.instagram.com/p/DBZ3krLJWcX/,@vitodisena 😮‍💨😮‍💨
rcarballo.m,18026739281155301,https://www.instagram.com/p/DBZ3krLJWcX/,😮😮😮😮❤️
juliolealortiz,18017320046331134,https://www.instagram.com/p/DBZ3krLJWcX/,@rcarballo.m amigooo 🙌🙌
juanpa__hdz_zorrilla,18051549436760609,https://www.instagram.com/p/DBZ3krLJWcX/,Voyyyyy!!!!! 🔥🔥🔥🔥
juliolealortiz,18024645254432523,https://www.instagram.com/p/DBZ3krLJWcX/,@juan_pablo_hdz_z hacemos súper juntos amigo? 😍🙌🏽 jajaja
juanpa__hdz_zorrilla,17930554121952286,https://www.instagram.com/p/DBZ3krLJWcX/,@juliolealortiz 😅😅😅
ericksixto,18065070625677417,https://www.instagram.com/p/DBZ3krLJWcX/,Sustos que dan gusto 🙌🏻
juliolealortiz,17877294729190740,https://www.instagram.com/p/DBZ3krLJWcX/,@ericksixto 🔥🔥🔥
miguelfritz,17967713144803605,https://www.instagram.com/p/DBZ3krLJWcX/,Guayaberaza ❤️ ❤️
juliolealortiz,17900323992065476,https://www.instagram.com/p/DBZ3krLJWcX/,@miguelfritz de los mejores!! 😍😍😍
topyucatan,17900392958984883,https://www.instagram.com/p/DBZ3krLJWcX/,🔥🔥🔥🔥
juliolealortiz,18066897946560350,https://www.instagram.com/p/DBZ3krLJWcX/,@topyucatan 😍😍😍
edwingcen,18286140661211168,https://www.instagram.com/p/DBZ3krLJWcX/,Tengo que ir yaaa para la fiesta de haloween!!!
juliolealortiz,18260479573254964,https://www.instagram.com/p/DBZ3krLJWcX/,@edwingcen ufff 🔥🔥🫶🏼
hectormizrahim,18257347888252634,https://www.instagram.com/p/DBZ3krLJWcX/,😬😬😬😬😬 me dio mucho miedo 😬😬😬😬😬
juliolealortiz,18140049388357438,https://www.instagram.com/p/DBZ3krLJWcX/,@hectormizrahim te abrazo? 😱
gerryoc,17948809283756109,https://www.instagram.com/p/DBZ3krLJWcX/,Ahí asustan???
juliolealortiz,18025036331195952,https://www.instagram.com/p/DBZ3krLJWcX/,@gerryoc si 😨
jorgemartos22,17957257013715961,https://www.instagram.com/p/DBZ3krLJWcX/,Esooo tilin. Te regalaron la camisa? Yo la quiero pa mi 🤭🤭
juliolealortiz,17852756568263904,https://www.instagram.com/p/DBZ3krLJWcX/,"@jorgemartos22 te paso el contacto de dónde la puedes conseguir, CHULADA!"
isaacmosqueda_,18043589075042658,https://www.instagram.com/p/DBZ3krLJWcX/,Que ofertones!!!!!!! 🙌🙌🙌🙌🙌
elrazikid,17881967355116231,https://www.instagram.com/p/DBZ3krLJWcX/,Maaaa gpi a las ofertas 😮‍💨
juliolealortiz,18063144961737043,https://www.instagram.com/p/DBZ3krLJWcX/,@elrazikid vamos de súper juntos?
diego.alemi,17897517525082499,https://www.instagram.com/p/DBZ3krLJWcX/,A su mecha vamos vamos @solangelore @nanybello 🙌🙌
robalarcon_,18356963272191306,https://www.instagram.com/p/DBZ3krLJWcX/,Cosas que ya hizo Poncho Denigris y Julio: Salir en Super Aki
juliolealortiz,18328749514194701,https://www.instagram.com/p/DBZ3krLJWcX/,@robalarcon_ CINE 😮‍💨🫶🏼 jajaja tqm amigo
joesantanab,18046078949308430,https://www.instagram.com/p/DBZ3krLJWcX/,Buen sustito que te metieron 😂
juliolealortiz,18142443958349414,https://www.instagram.com/p/DBZ3krLJWcX/,@joesantanab las OFERTAS 😂😂😂🙌
