https://www.instagram.com/p/DCxANjrJ0Fj/,hashtags:,#yucatan,#fyp
username,comment_id,text
johana_quintal,17920368153027298,Recomendaciónes
floritaarcique,18328952488093523,Carisimo
manuel.zaldivar74,18066107695881494,Que sale el día
argosipad,18055065791032652,Información
randy_carter_official,18059903824814405,El que yucatan???
leticia.soberanis.58,18067147585870524,Que mal que no pongan ejemplo precio cuarto para  dos
marlene.torresmayo,17997060995759478,Cómo se llama el hotel y dónde se ubica no le entendí al que lo publica
valentin.euankuman,18120244102423133,Precio
omarsarubbi,18051148733326761,"Comida muy sencilla , hotel viejo y nada que ver el costo con la oferta de lugar honestamente no vale la pena , mejor ir a la Riviera ."
denaly_rosado,17871505041279818,Información
amaral_rom,17909159580066603,Esta bien kolaid
juanhid7,18116472820438136,Precio
maldonadojuandiegonabte,18091308175477629,Buenos días información x favor
masajes_profesional_cancun_,17852968770387983,"Todos los hoteles todo incluido 
Puedes usar las instalaciónes después de tu check- out 
En lo que llega tu hora de irte al aeropuerto 
Lo único que no puedes hacer uso es la habitación"
romanucramos,18349408723178990,Buenas noches .fue buen hotel ya no lo es solo chequen los barandales de todas las habitaciones llenos de polilla.el acceso a la playa horrible la comida no es lo que promocionan.y para rematar antes llegabas al hotel y te daban chance de almorzar.ahora te dejan entrar hasta las 3 hora que cierra el restaurante y te mandan al bufete de snack donde el bufete es codzitos pico de gallo nachos perros calientes o hamburguesas. Y todo esto chequenlo y vean no es cuento mio .el dueño ya no quiere invertir
anastaciopadillacasanova,18040827752101485,Precio or persona por favores
franciscosanchez2402,17900228013031565,En donde se ubican
arleny.ramos.73,18045377645210325,Información sobre las reservaciónes
yaquelin.almeyda.9,17954655176906711,Precios
alexnurs1985,18092482750523387,"Sucio, viejo ,caro y pesima comida"
rafaelenriquediazvillegas,17909583167982101,Hola
juancob467,18038588066457705,Información cuando está ????
gutierrezestradajorge,18115632706432565,Y cuánto vale ese plan?
angel.tun.771,18394519813102764,Costo?
mariteredzulcanul,17893682631117932,Pésimo lugar. Mal servicio carísimo no hay ninguna actividad a las 11 de la noche ya está todo muerto y no te dejan en las instalaciones después de la entrega de la habitación. Te sale más barato ir a la Riviera
edwinalbertoherreraperez,18068400646765979,En qué playa está
gabygapellicer,17860272231342107,Precio para dos personas
iyaripoot,18014185550671545,@enrique aguilar
sofia91k_,18073348687657712,Precio
mario_m_gil,18030200894268187,Hotel que ??? Jajajajaja
serranosteff,18053915597013411,Carísimo y viejo !
miguelsalazar1955,18062008387915238,"Te sugiero que cuando digas el nombre del lugar, dilo despacio pues no se te entiende."
juanejo291279,17861037615260139,Pecio
vibc7908,17891010117157753,Informes
antonioblak13,17980852904650112,Hotel Reef u hotel Geef
