https://www.instagram.com/p/DD25PH9JAaq/,hashtags:,#fyp,#merida,#yucatan,#comida,#parati
username,comment_id,text
russellbaqueiro,18190102798319611,"Y los precios? 

Digo, sería un buen dato gallo"
oswaldomatu,18057135457760445,Maaaaaaaaaa se ve delicioso todo
juliolealortiz,18075697396628377,@oswaldomatu vamoooos!
ax_fiction,18143647615324347,No te ha fallado ninguna recomendación así que habrá que ir a probar xD 👍
juliolealortiz,17911926453052488,@ax_fiction 😍😍
vitodisena,18030913289425004,Mamariscos 🦀 🚬🗿
joesantanab,18058473121903184,Buena dotación para andar como Jeet
juliolealortiz,17963980706735476,@joesantanab 😂😂🙌
robalarcon_,18072570103641841,"Miraaaa nomas, puro afrodisíaco, chulada bb"
juliolealortiz,18118781548411236,@robalarcon_ ya te imaginas cómo acabé 😮‍💨
pechvstheworld,18174251692313637,UFFA PAPÁ
juliolealortiz,17892383304136049,@pechvstheworld una chulada!! 😮‍💨
