https://www.instagram.com/p/DDIMQ5wJqEu/,hashtags:,#fyp,#merida,#yucatan,#humor,#navidad
username,comment_id,text
san_antonio_59,18045581582318985,😍😍😍😍😍😍😍👏👏👏👏👏👏👏
floreschucjorgemanuel,17957887691735108,Avisa cuando salgas al centro para ir a cortorear
dany_gamer_183,17872185912237468,Jajaja todos me hicieron reír 😂😂😂😂
alonsopechg,18059461552888846,Excelentes videos @juliolealortiz
luisfmx2022,18476195326051482,😮
rcarballo.m,18061968766835491,"Que lindo video, lo que dijo la señora con sus buenos deseos 🥲❤️😍"
juliolealortiz,18477735265008423,@rcarballo.m siii 😭🙏🏽
almacanul2,17923219956003281,"Que bonito,salio mi bebe jsjsjs"
miguelojeda4,18037361864337484,Videos chingones  para la gente que estamos lejos esos videos nos alegra la vida! 👌
juliolealortiz,18045533467907078,@miguelojeda4 abrazote! Gracias hermano!
mfersegurap,17913256980045065,"Te amo, eres el mejor, te veo y siento que estoy haya hijooooooo ❤️"
josetwitts,18275289058301017,Pura buena vibra en el centro jajajaa😂
juliolealortiz,17867743224256184,@josetwitts 😂🙌
josetwitts,17970071972807595,Whisky!! Jajajajajja se mamó la doña
juliolealortiz,18031110260594570,@josetwitts jajajja 😂😂
kiichpam_nini,18060110764877239,"Vivo fuera de la península, pero tus videos me hacen sentir como en casa siempre ❤️😂"
juliolealortiz,18118555714418826,@nini_dlc3 🙌🏽😎
menadriana_,18049506830493270,🔥
