hashtags:,#fyp,#merida,#yucatan
post_url,username,comment_id,comment_text
helerpereyra,18019914656636935,https://www.instagram.com/p/DDKxcTQJ4Z7/,Anuncio rey te invito un día vas a ver como mal atienden
san_antonio_59,18111576649432216,https://www.instagram.com/p/DDKxcTQJ4Z7/,😍😍😍😍😍👏👏👏👏👏
elcocoyol,18015440072419809,https://www.instagram.com/p/DDKxcTQJ4Z7/,Eso bebé 😍
juliolealortiz,18023046002317688,https://www.instagram.com/p/DDKxcTQJ4Z7/,@elcocoyol vamos juntos?😮‍💨
rcarballo.m,18378537937111057,https://www.instagram.com/p/DDKxcTQJ4Z7/,Unos nachoooooooos yaaaaaaa 🔥🔥🔥
juliolealortiz,17950570601886191,https://www.instagram.com/p/DDKxcTQJ4Z7/,@rcarballo.m NOHOCH NACHOOOS 😂🙏🏽
hiram_077,18076266868609916,https://www.instagram.com/p/DDKxcTQJ4Z7/,Me dio hambre
amoyashante,17998262183541135,https://www.instagram.com/p/DDKxcTQJ4Z7/,😍😍😍
juliolealortiz,18024090851619330,https://www.instagram.com/p/DDKxcTQJ4Z7/,@amoyashante vamos 😍😘
