hashtags:,#fyp,#yucatan,#merida,#comida
post_url,username,comment_id,comment_text
vitodisena,18260687938264074,https://www.instagram.com/p/DDsz0m8JRvq/,Maaaaa se ve buenas esas enchiladas
oswaldomatu,17969108240815156,https://www.instagram.com/p/DDsz0m8JRvq/,Maaaa se ve delicioso nene 😍❤️
gerryoc,18089433604515684,https://www.instagram.com/p/DDsz0m8JRvq/,"@lea_stgo invítame unas enchiladas, me las merezco"
lea_stgo,18105745369455619,https://www.instagram.com/p/DDsz0m8JRvq/,"@gerryoc vamosss, te invito!"
diego.alemi,18051471335497304,https://www.instagram.com/p/DDsz0m8JRvq/,Vengaaaaaa.  Vamos pibe ahí. Estaremos grosoooo
amoyashante,18022687826630727,https://www.instagram.com/p/DDsz0m8JRvq/,😍😍
juliolealortiz,18032853731146542,https://www.instagram.com/p/DDsz0m8JRvq/,@amoyashante let’s go! 😍
amoyashante,17947018757913876,https://www.instagram.com/p/DDsz0m8JRvq/,@juliolealortiz 💃🏾💃🏾💃🏾
ericksixto,18125598034392900,https://www.instagram.com/p/DDsz0m8JRvq/,Gpi 😢
juliolealortiz,18031511600169302,https://www.instagram.com/p/DDsz0m8JRvq/,"@ericksixto vamos, cita doble!"
joesantanab,17915403000033724,https://www.instagram.com/p/DDsz0m8JRvq/,"Gpi a las enchiladas, se ve buenísimo todo"
juliolealortiz,17877279021212004,https://www.instagram.com/p/DDsz0m8JRvq/,@joesantanab INCREÍBLE!!
