hashtags:,#humor,#fyp,#yucatan
post_url,username,comment_id,comment_text
gonz_a5723,18062527477992096,https://www.instagram.com/p/DEOxGwqMsmx/,❤️❤️❤️💔💔💔❤️❤️❤️❤️
mariomanillalopez,18083876584721662,https://www.instagram.com/p/DEOxGwqMsmx/,🤗 saludos
yvemagana,18124675750423505,https://www.instagram.com/p/DEOxGwqMsmx/,"Thank you 🙏 I saw all of them,i laughed so much ♥️♥️♥️😁"
sanny_lopez_mexicano,18000822797757088,https://www.instagram.com/p/DEOxGwqMsmx/,Mucho éxito!!!👏🏻👏🏻👏🏻
lizzz_1001,18062290852790030,https://www.instagram.com/p/DEOxGwqMsmx/,"El primer video tuyo que me apareció fueron el de las bombas JAJAJA , desde ese video te empecé a seguir 🤣💗"
ismaelpootp,17871491547224837,https://www.instagram.com/p/DEOxGwqMsmx/,Todo al 100% _ mas
ismaelpootp,18099406504512884,https://www.instagram.com/p/DEOxGwqMsmx/,😂👏❤️👏
ismaelpootp,18323305408161803,https://www.instagram.com/p/DEOxGwqMsmx/,A huevo mas videos esta bonitos
granymorales,18141439705373652,https://www.instagram.com/p/DEOxGwqMsmx/,Eres casado
luiszaratelaureano915,18329333323085025,https://www.instagram.com/p/DEOxGwqMsmx/,Muy bueno barbudo
laurapechds,18046375727218557,https://www.instagram.com/p/DEOxGwqMsmx/,😂😂😂
sarairomerofonseca,17898710484037264,https://www.instagram.com/p/DEOxGwqMsmx/,Lo mejor de lo mejor
aina_oliver,18048989080944849,https://www.instagram.com/p/DEOxGwqMsmx/,🙌❤️
montanezneydi,18018461765442366,https://www.instagram.com/p/DEOxGwqMsmx/,Te deseo lo mejor del mundo. Soy tu fans
montanezneydi,18089984992533874,https://www.instagram.com/p/DEOxGwqMsmx/,Te faltó el de las españolas en la plaza grande jajajaja ese me encantó
lauris.moreno,17952108272776813,https://www.instagram.com/p/DEOxGwqMsmx/,Debes venir a campeche
mariyuyuuicab,18032242616206170,https://www.instagram.com/p/DEOxGwqMsmx/,Espero este año verte en la Mérida Yucatán!! Saludos me gustan mucho tus videos !!?
joanpuch,17874481278253562,https://www.instagram.com/p/DEOxGwqMsmx/,Execelente contenido ✌️ mucho éxito!!!
jpedrobautistade,18289112185175258,https://www.instagram.com/p/DEOxGwqMsmx/,Pelana
jpedrobautistade,17978906096654363,https://www.instagram.com/p/DEOxGwqMsmx/,Bomba
marisolalamill,17923610577001860,https://www.instagram.com/p/DEOxGwqMsmx/,Saludos feliz 2025
san_antonio_59,17863034076241258,https://www.instagram.com/p/DEOxGwqMsmx/,Feliz año nuevo y esperamos tus videos felicitaciones 🍾🎉🎊🎈
san_antonio_59,18060050230912210,https://www.instagram.com/p/DEOxGwqMsmx/,😂😂😂😂😂😂😂
burrodiaz35,18071058979672459,https://www.instagram.com/p/DEOxGwqMsmx/,👏👏👏👏👏👏👏👏👏
pinzonbasto,18045145108986464,https://www.instagram.com/p/DEOxGwqMsmx/,Pelana
chris_albornoz_,18278270110217275,https://www.instagram.com/p/DEOxGwqMsmx/,Culo
adrianaaguilar_77,18033880280170053,https://www.instagram.com/p/DEOxGwqMsmx/,"Fui al lindo Mérida y me acordé de tus vídeos, gracias por hacernos reír 😊"
joanny2707,18052912358076534,https://www.instagram.com/p/DEOxGwqMsmx/,Como me diviertes!!! 🤣🫣
fabiancahuich,18047941247131730,https://www.instagram.com/p/DEOxGwqMsmx/,Espero conocerte ahora que estoy trabajando por Mérida mándame saludos
vicentaamada,17988235631773213,https://www.instagram.com/p/DEOxGwqMsmx/,Muchas felicidades y feliz año nuevo
cedricceballoscetina,18038438192078176,https://www.instagram.com/p/DEOxGwqMsmx/,👏Excelente videos. Chidoo bro éxitos man. Felicidades.
meritdiaz,18038907752353394,https://www.instagram.com/p/DEOxGwqMsmx/,Morí jajajajaja
cefeao,18371190850191742,https://www.instagram.com/p/DEOxGwqMsmx/,Está chebre lo qué ases amigo adelante surte
helerpereyra,17895537009102060,https://www.instagram.com/p/DEOxGwqMsmx/,A ti papá saludos y feliz año nuevo
enedino.gonzalez.731,18073114564655929,https://www.instagram.com/p/DEOxGwqMsmx/,Cuando vienes a Cozumel
isis_coello_laneney,18073441648635790,https://www.instagram.com/p/DEOxGwqMsmx/,Chingón Felicidades!!!
rcarballo.m,18039667028348787,https://www.instagram.com/p/DEOxGwqMsmx/,Mensaje a tu ex😂😂😂😂😂 ese te faltó.
juliolealortiz,17888433198157786,https://www.instagram.com/p/DEOxGwqMsmx/,@rcarballo.m en el número 3.5 😂😂
juliolealortiz,17921722794001315,https://www.instagram.com/p/DEOxGwqMsmx/,@rcarballo.m en el número 3.5 😂😂
rcarballo.m,17862219792301146,https://www.instagram.com/p/DEOxGwqMsmx/,Estuvo buenísimo 😂😂😂
gerryoc,18030029690227246,https://www.instagram.com/p/DEOxGwqMsmx/,El 3 es una joyaaaaa
juliolealortiz,18056844583944185,https://www.instagram.com/p/DEOxGwqMsmx/,@gerryoc 🔥🔥🔥
