hashtags:,#broma,#yucatan,#merida,#humor,#destrampados,#fyp
post_url,username,comment_id,comment_text
rodrmarthapatriciarodriguez,17903505126119202,https://www.instagram.com/p/DEsS3JHp1iJ/,Que se siente
arabisaac,18079395583642201,https://www.instagram.com/p/DEsS3JHp1iJ/,"Hermoso lo que dijo es mi país., Yucatán es México y su gente es súper linda lo comprobé hace poco ❤️"
tiffany_tc_,18083350156611306,https://www.instagram.com/p/DEsS3JHp1iJ/,😹😹😹
rubenbenjaminbonilla,18072302569706761,https://www.instagram.com/p/DEsS3JHp1iJ/,Policiaaa .. policía.. Ayúdeme no puedo 🤦🏽‍♂️..😂😂😂😂😂😂😂
daniel_rd566,18095664883507643,https://www.instagram.com/p/DEsS3JHp1iJ/,"Te vi el miércoles we,pero estabas entrevistando💔"
ismael_montero_kmb,18153817558346482,https://www.instagram.com/p/DEsS3JHp1iJ/,😂😂😂😂😂
mant_express,17897433744109222,https://www.instagram.com/p/DEsS3JHp1iJ/,Un bolillo para el susto 😂😂😂😂😎👍mis ídolos los wiwirisquis
alejandratellez585,17921940456040026,https://www.instagram.com/p/DEsS3JHp1iJ/,Oscarin bien miedoso 😂 saludos
c_h_u_r_c_h_i_l_l_,18035415221420808,https://www.instagram.com/p/DEsS3JHp1iJ/,Kien jalo mi cabello
sarai_j19,18034564001428329,https://www.instagram.com/p/DEsS3JHp1iJ/,Jaja 😝
balamanahiza,18390143614096494,https://www.instagram.com/p/DEsS3JHp1iJ/,"Le debiste decir, Wiwiriski, Wiwiriski JAJAJAJA"
nenita_de_rojas,17877330918246566,https://www.instagram.com/p/DEsS3JHp1iJ/,😂😂😂
gomr_bd,18033637208401128,https://www.instagram.com/p/DEsS3JHp1iJ/,Chidoooo
tonitapech,18290414431245941,https://www.instagram.com/p/DEsS3JHp1iJ/,Cayeron igual 😂 como ellos en sus bromas 😂😂😂😂 soporten Yucatán 😂
l_juda_jr,18045292142185728,https://www.instagram.com/p/DEsS3JHp1iJ/,Déjalos moridos para que se les quite.😜
lovesandysanchez,18049018013153961,https://www.instagram.com/p/DEsS3JHp1iJ/,😂😂😂 Ame esa broma en mi lindo Yucatán hoy les tocó a ellos  jaja sus caras
fidelsantossuarez,18053307269023009,https://www.instagram.com/p/DEsS3JHp1iJ/,Que bueno que che chente😂😂😂😂😂😂😂😂
rosaliahdzgtz,18019393820401271,https://www.instagram.com/p/DEsS3JHp1iJ/,Se pasaron 😂
rubenjimenez343,18267872380251415,https://www.instagram.com/p/DEsS3JHp1iJ/,Ma va llorar el nene 😂
cristyfonsecaa,17974208015815646,https://www.instagram.com/p/DEsS3JHp1iJ/,Ya no aguantaron 😂
walvarez12,18383002375109160,https://www.instagram.com/p/DEsS3JHp1iJ/,Amo la cara del final jajajaja 😂
elsa.blanco.9212,18054122285502554,https://www.instagram.com/p/DEsS3JHp1iJ/,Se las aplicaron
ketiatropmi,18027077987559842,https://www.instagram.com/p/DEsS3JHp1iJ/,Que bueno me caen mal
