hashtags:,#fyp,#merida,#yucatan,#humor,#parati
post_url,username,comment_id,comment_text
danyvalcha,18110678149466028,https://www.instagram.com/p/DGeVFynsNgh/,Que agradables son los yucas 👏👏
alecruzflota,18065578384902878,https://www.instagram.com/p/DGeVFynsNgh/,JAJAJAJAJAJAJAJ 🙌
kary_lula,18060681311068603,https://www.instagram.com/p/DGeVFynsNgh/,😂😂
chinchirrin,18093681295478915,https://www.instagram.com/p/DGeVFynsNgh/,Weeeeey @lalo_chin jajajaja
_.yzl_pgbn9,18047218049245688,https://www.instagram.com/p/DGeVFynsNgh/,@edwin_alviidrez ❤️
virginiafq1,17888090025200922,https://www.instagram.com/p/DGeVFynsNgh/,JAJAJAJAJAJAJAJAJAJAJAJA @pao_lav7 nosotras el domingo
p3terleon,18053026571514595,https://www.instagram.com/p/DGeVFynsNgh/,Que genial jejeje saludos Julio
dianely_sanchez26,18077536372598685,https://www.instagram.com/p/DGeVFynsNgh/,🤣🤣🤣
jor_a_lopez,17893830309179345,https://www.instagram.com/p/DGeVFynsNgh/,Puro bailarín profesional 😅🤣😂
falsa_no3,18291136327175162,https://www.instagram.com/p/DGeVFynsNgh/,Me gustan tus videos Pero pues hay gente q te sigue y no los pasas. Mi hijo un día te pidió tu firma. Buscamos y buscamos y nada q le diste  importancia..... C q te debes a tu fama . Pero pos un poquito de  caso a tus fans no te haría mallll❤️
mexsantoss,18049809449469581,https://www.instagram.com/p/DGeVFynsNgh/,"@juliolealortiz Escucha a la banda, no vacilessss"
juliolealortiz,17851826874403605,https://www.instagram.com/p/DGeVFynsNgh/,"@falsa_no3 dónde fue? 😯 siempre saludamos a toda la bandita que se acerca, disculpa si no fue así en alguna ocasión, mándale saludos a tu hijo de mi parte!!"
juliolealortiz,18038013128432927,https://www.instagram.com/p/DGeVFynsNgh/,@mexsantoss 🫡
chefchinoiz,18097627588511561,https://www.instagram.com/p/DGeVFynsNgh/,Mare estrenando 🩴
juliolealortiz,18137149363379744,https://www.instagram.com/p/DGeVFynsNgh/,@chefchinoiz 😂😂😂😮‍💨😮‍💨
jorgemartos22,18058579610510007,https://www.instagram.com/p/DGeVFynsNgh/,😂😂😂 zamalakatiki
juliolealortiz,18098256091511780,https://www.instagram.com/p/DGeVFynsNgh/,@jorgemartos22 😂😂😂
_anyylove,18030967007630790,https://www.instagram.com/p/DGeVFynsNgh/,q bonita la de cabello rosita💕
ily_ailyn,18285888793222785,https://www.instagram.com/p/DGeVFynsNgh/,@anyybrry te amo mi cabello rojito💗
seriprinters,18086323819583115,https://www.instagram.com/p/DGeVFynsNgh/,Grabarme como arleth😂
ela_dri92,17951729147928539,https://www.instagram.com/p/DGeVFynsNgh/,@@randynho_99 influencer
randynho_99,18106338691469607,https://www.instagram.com/p/DGeVFynsNgh/,@ela_dri92 Famose 💋
edificiosmayas,17971497530829822,https://www.instagram.com/p/DGeVFynsNgh/,JAAJAJAJAJAJAJAJAJAJAJ
juliolealortiz,18035711600217804,https://www.instagram.com/p/DGeVFynsNgh/,@edificiosmayas faltó el tuyooo 😂
